"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"1","OneMonthBefore+TwoMonthBefore+ThreeMonthBefore","52.1732381874894","65.3588806963512","5","4","7","9","177.361995226889"
"2","OneMonthBefore","47.0571146616912","62.362279720256","5","6","7","8","177.96618120938"
"3","OneMonthBefore+TwoMonthBefore","47.1357389802993","63.6559868470605","5","6","7","9","180.975255698405"
"4","NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","46.2991447423778","57.3068242028444","7","6","8","7","261.783638865276"
"5","NumTweets_Month2+NumDistinctTweets_Month2+NumPopularTweets_Month2+NumDistinctUsers_Month2+NumVerifiedTweets_Month2","58.4136373235285","69.113856483999","3","4","6","7","231.272725569252"
"6","NumTweets_Week1+NumDistinctTweets_Week1+NumPopularTweets_Week1+NumDistinctUsers_Week1+NumVerifiedTweets_Week1","45.2902150240242","57.9999792915321","7","7","8","8","325.093706843197"
"7","NumTweets_Week2+NumDistinctTweets_Week2+NumPopularTweets_Week2+NumDistinctUsers_Week2+NumVerifiedTweets_Week2","46.6091857576724","56.839943496433","6","5","7","7","255.80785874433"
"8","NumTweets_Month1+NumTweets_Month2+NumTweets_Week1+NumTweets_Week2","60.2266412994277","72.0434091742169","4","2","7","7","164.148820017836"
"9","NumDistinctTweets_Month1+NumDistinctTweets_Month2+NumDistinctTweets_Week1+NumDistinctTweets_Week2","50.2854303019032","60.0827535918959","5","3","7","7","223.038887867038"
"10","NumPopularTweets_Month1+NumPopularTweets_Month2+NumPopularTweets_Week1+NumPopularTweets_Week2","56.0990024998194","69.3208855812692","6","4","8","7","180.336582627069"
"11","NumDistinctUsers_Month1+NumDistinctUsers_Month2+NumDistinctUsers_Week1+NumDistinctUsers_Week2","47.3106960196558","59.1187423689142","5","4","8","7","308.925894570292"
"12","NumVerifiedTweets_Month1+NumVerifiedTweets_Month2+NumVerifiedTweets_Week1+NumVerifiedTweets_Week2","58.9161108540629","68.1854352373407","5","3","6","5","235.978018131854"
"13","OneMonthBefore+NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","44.8136183004251","57.362841367054","9","5","10","7","252.989913367945"
"14","OneMonthBefore+NumTweets_Month2+NumDistinctTweets_Month2+NumPopularTweets_Month2+NumDistinctUsers_Month2+NumVerifiedTweets_Month2","55.6634302760857","68.1714331451134","3","4","6","7","216.06510524924"
"15","OneMonthBefore+NumTweets_Week1+NumDistinctTweets_Week1+NumPopularTweets_Week1+NumDistinctUsers_Week1+NumVerifiedTweets_Week1","43.0434568978567","55.6480974801356","7","4","8","6","308.238424174416"
"16","OneMonthBefore+NumTweets_Week2+NumDistinctTweets_Week2+NumPopularTweets_Week2+NumDistinctUsers_Week2+NumVerifiedTweets_Week2","43.7460181547631","54.7817671896476","5","5","7","7","244.215632874019"
"17","OneMonthBefore+NumTweets_Month1+NumTweets_Month2+NumTweets_Week1+NumTweets_Week2","46.2929526795749","61.1278414833222","5","6","7","8","187.108169398594"
"18","OneMonthBefore+NumDistinctTweets_Month1+NumDistinctTweets_Month2+NumDistinctTweets_Week1+NumDistinctTweets_Week2","43.4804778916328","56.1483719321116","6","5","7","7","216.677578727762"
"19","OneMonthBefore+NumPopularTweets_Month1+NumPopularTweets_Month2+NumPopularTweets_Week1+NumPopularTweets_Week2","49.3250608178864","62.8637942398222","5","5","7","8","189.7705592355"
"20","OneMonthBefore+NumDistinctUsers_Month1+NumDistinctUsers_Month2+NumDistinctUsers_Week1+NumDistinctUsers_Week2","39.4950040013509","55.086876650013","7","6","9","8","326.772935922848"
"21","OneMonthBefore+NumVerifiedTweets_Month1+NumVerifiedTweets_Month2+NumVerifiedTweets_Week1+NumVerifiedTweets_Week2","56.7766773751763","62.7387344997565","3","4","5","7","249.543124868491"
"22","OneMonthBefore+TwoMonthBefore+NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","44.3972501825018","58.103015369732","7","6","9","7","247.774779963709"
