"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"1","OneMonthBefore+TwoMonthBefore+ThreeMonthBefore","52.1732381874894","65.3588806963512","5","4","7","9","177.361995226889"
"2","OneMonthBefore","47.0571146616912","62.362279720256","5","6","7","8","177.96618120938"
"3","OneMonthBefore+TwoMonthBefore","47.1357389802993","63.6559868470605","5","6","7","9","180.975255698405"
"4","NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","51.2103120710153","62.9508496597307","5","3","7","7","192.209694368835"
"5","NumTweets_Month2+NumDistinctTweets_Month2+NumPopularTweets_Month2+NumDistinctUsers_Month2+NumVerifiedTweets_Month2","53.5354538006723","63.8417622375016","4","3","7","7","178.319768234488"
"6","NumTweets_Week1+NumDistinctTweets_Week1+NumPopularTweets_Week1+NumDistinctUsers_Week1+NumVerifiedTweets_Week1","53.3346002077167","64.8619269831058","5","3","8","7","170.659133452029"
"7","NumTweets_Week2+NumDistinctTweets_Week2+NumPopularTweets_Week2+NumDistinctUsers_Week2+NumVerifiedTweets_Week2","49.0475021362987","61.688769050988","7","5","8","7","185.461554550455"
"8","NumTweets_Month1+NumTweets_Month2+NumTweets_Week1+NumTweets_Week2","62.6842055343854","73.7228752588475","4","2","7","7","160.741169645431"
"9","NumDistinctTweets_Month1+NumDistinctTweets_Month2+NumDistinctTweets_Week1+NumDistinctTweets_Week2","58.6246714566186","67.284277837419","4","2","7","7","189.397458116734"
"10","NumPopularTweets_Month1+NumPopularTweets_Month2+NumPopularTweets_Week1+NumPopularTweets_Week2","56.5743632685604","68.8951299499802","5","3","7","6","167.108054375509"
"11","NumDistinctUsers_Month1+NumDistinctUsers_Month2+NumDistinctUsers_Week1+NumDistinctUsers_Week2","49.940975921455","60.7155545720684","6","4","8","7","205.789367990986"
"12","NumVerifiedTweets_Month1+NumVerifiedTweets_Month2+NumVerifiedTweets_Week1+NumVerifiedTweets_Week2","53.8896665547759","65.3706886727855","5","3","7","7","174.711547458981"
"13","OneMonthBefore+NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","46.6297975429786","60.4956360491632","5","5","7","8","196.538928622275"
"14","OneMonthBefore+NumTweets_Month2+NumDistinctTweets_Month2+NumPopularTweets_Month2+NumDistinctUsers_Month2+NumVerifiedTweets_Month2","46.3577485110508","60.0078108369758","5","5","7","8","184.711269969074"
"15","OneMonthBefore+NumTweets_Week1+NumDistinctTweets_Week1+NumPopularTweets_Week1+NumDistinctUsers_Week1+NumVerifiedTweets_Week1","45.304909464836","59.2358223434507","5","6","7","8","187.737190451196"
"16","OneMonthBefore+NumTweets_Week2+NumDistinctTweets_Week2+NumPopularTweets_Week2+NumDistinctUsers_Week2+NumVerifiedTweets_Week2","43.0568218130358","57.4821049659698","7","5","8","7","192.020407687179"
"17","OneMonthBefore+NumTweets_Month1+NumTweets_Month2+NumTweets_Week1+NumTweets_Week2","47.173327397306","62.5823177582299","5","7","7","9","181.717110812494"
"18","OneMonthBefore+NumDistinctTweets_Month1+NumDistinctTweets_Month2+NumDistinctTweets_Week1+NumDistinctTweets_Week2","54.4255706002487","64.1781707413497","5","2","7","7","194.048834895647"
"19","OneMonthBefore+NumPopularTweets_Month1+NumPopularTweets_Month2+NumPopularTweets_Week1+NumPopularTweets_Week2","47.9991814484352","62.246102869727","6","5","7","7","178.845591197638"
"20","OneMonthBefore+NumDistinctUsers_Month1+NumDistinctUsers_Month2+NumDistinctUsers_Week1+NumDistinctUsers_Week2","45.9867464683284","58.1181716286338","7","5","8","8","210.102100897616"
"21","OneMonthBefore+NumVerifiedTweets_Month1+NumVerifiedTweets_Month2+NumVerifiedTweets_Week1+NumVerifiedTweets_Week2","47.4501197642414","59.6257332729627","5","5","7","7","186.609910627031"
"22","OneMonthBefore+TwoMonthBefore+NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","45.9059149424937","61.9115158333256","6","5","8","8","191.865413721853"
