"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"1","OneMonthBefore+TwoMonthBefore+ThreeMonthBefore","50.8059525016073","64.7940756912612","5","3","7","9","178.931012935747"
"2","OneMonthBefore","46.7328902323088","62.3098415197512","5","6","7","9","178.935001793458"
"3","OneMonthBefore+TwoMonthBefore","47.1217481896207","63.5934995268255","5","6","7","9","181.885034124293"
"4","NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","62.590810588904","75.1139849193521","4","3","7","7","155.533438822583"
"5","NumTweets_Month2+NumDistinctTweets_Month2+NumPopularTweets_Month2+NumDistinctUsers_Month2+NumVerifiedTweets_Month2","59.9721668010054","71.7346942210637","4","3","7","7","170.010174489455"
"6","NumTweets_Week1+NumDistinctTweets_Week1+NumPopularTweets_Week1+NumDistinctUsers_Week1+NumVerifiedTweets_Week1","63.3683668027711","74.8899380427629","4","2","7","7","158.897775394703"
"7","NumTweets_Week2+NumDistinctTweets_Week2+NumPopularTweets_Week2+NumDistinctUsers_Week2+NumVerifiedTweets_Week2","65.3661327021261","76.7322396888265","4","3","7","7","150.31513254215"
"8","NumTweets_Month1+NumTweets_Month2+NumTweets_Week1+NumTweets_Week2","62.6287991460261","74.2246784695438","4","2","7","7","157.560011283858"
"9","NumDistinctTweets_Month1+NumDistinctTweets_Month2+NumDistinctTweets_Week1+NumDistinctTweets_Week2","61.5687593366471","72.2648612422213","4","2","7","7","161.998664129406"
"10","NumPopularTweets_Month1+NumPopularTweets_Month2+NumPopularTweets_Week1+NumPopularTweets_Week2","63.9244632849273","75.7955158641821","6","3","8","7","153.000717664298"
"11","NumDistinctUsers_Month1+NumDistinctUsers_Month2+NumDistinctUsers_Week1+NumDistinctUsers_Week2","61.0460446696242","72.2492904800719","4","3","7","7","172.583399111877"
"12","NumVerifiedTweets_Month1+NumVerifiedTweets_Month2+NumVerifiedTweets_Week1+NumVerifiedTweets_Week2","64.5066348646428","74.8795572653391","4","2","7","7","142.685355795208"
"13","OneMonthBefore+NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","47.2155045194812","62.2044465300127","6","4","7","7","180.038487876118"
"14","OneMonthBefore+NumTweets_Month2+NumDistinctTweets_Month2+NumPopularTweets_Month2+NumDistinctUsers_Month2+NumVerifiedTweets_Month2","41.5151900425725","57.5875077496684","7","6","9","9","199.543467086943"
"15","OneMonthBefore+NumTweets_Week1+NumDistinctTweets_Week1+NumPopularTweets_Week1+NumDistinctUsers_Week1+NumVerifiedTweets_Week1","46.3806700296716","61.5598509905969","5","7","7","9","189.093319110699"
"16","OneMonthBefore+NumTweets_Week2+NumDistinctTweets_Week2+NumPopularTweets_Week2+NumDistinctUsers_Week2+NumVerifiedTweets_Week2","50.4065236761269","63.9243100312216","5","5","7","8","176.521658902149"
"17","OneMonthBefore+NumTweets_Month1+NumTweets_Month2+NumTweets_Week1+NumTweets_Week2","45.1090736420648","61.3429990966726","5","6","7","8","184.579444029777"
"18","OneMonthBefore+NumDistinctTweets_Month1+NumDistinctTweets_Month2+NumDistinctTweets_Week1+NumDistinctTweets_Week2","41.7748913921888","58.2664274733948","7","6","8","8","190.534926965763"
"19","OneMonthBefore+NumPopularTweets_Month1+NumPopularTweets_Month2+NumPopularTweets_Week1+NumPopularTweets_Week2","49.1911798827394","63.0202383389443","5","6","7","8","184.165397804677"
"20","OneMonthBefore+NumDistinctUsers_Month1+NumDistinctUsers_Month2+NumDistinctUsers_Week1+NumDistinctUsers_Week2","39.8825481091619","56.1859031565007","7","6","9","9","209.296822047593"
"21","OneMonthBefore+NumVerifiedTweets_Month1+NumVerifiedTweets_Month2+NumVerifiedTweets_Week1+NumVerifiedTweets_Week2","47.9448393268357","61.9197522789707","5","4","7","7","173.541655200967"
"22","OneMonthBefore+TwoMonthBefore+NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","47.2128855507523","64.2055796608335","5","5","7","8","177.886886516835"
"23","OneMonthBefore+TwoMonthBefore+NumTweets_Month2+NumDistinctTweets_Month2+NumPopularTweets_Month2+NumDistinctUsers_Month2+NumVerifiedTweets_Month2","43.1365531164441","60.2118654974222","7","4","9","9","191.869602753839"
"24","OneMonthBefore+TwoMonthBefore+NumTweets_Week1+NumDistinctTweets_Week1+NumPopularTweets_Week1+NumDistinctUsers_Week1+NumVerifiedTweets_Week1","46.8463871483712","63.2444074474142","5","6","7","9","187.493372021799"
"25","OneMonthBefore+TwoMonthBefore+NumTweets_Week2+NumDistinctTweets_Week2+NumPopularTweets_Week2+NumDistinctUsers_Week2+NumVerifiedTweets_Week2","50.4357392071514","65.5827127969917","5","6","7","9","173.37105185489"
"26","OneMonthBefore+TwoMonthBefore+NumTweets_Month1+NumTweets_Month2+NumTweets_Week1+NumTweets_Week2","46.4347983735955","63.5081084001735","5","4","7","8","181.352490060367"
