"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","NumTweets_Month1_hashtags_Log","60.7667858838042","54.2477061713325","71.9858142510939","54.5904893659879","4","2","7","7","71","-56.2","166.246016505207"
"2","NumTweets_Month1_hashtags_LogDelta","62.5968002470149","58.2457118572223","74.0284835095399","58.3110491157405","4","2","7","7","71","-56.2","154.935455236574"
"3","NumTweets_Month1_hashtags_Log+NumTweets_Month1_hashtags_LogDelta","60.7522736778306","54.2110196797369","71.9787479035815","54.5655316067245","4","2","7","7","71","-56.2","166.148066980362"
"4","NumTweets_Month2_hashtags_Log","61.8126939270581","55.4377445962886","73.1226446919296","55.6543474947538","4","2","7","7","71","-56.2","161.859109817402"
"5","NumTweets_Month2_hashtags_LogDelta","64.1764047974684","59.9112877516737","75.7612484746096","59.9164323210421","4","2","7","7","71","-56.2","151.686042068233"
"6","NumTweets_Month2_hashtags_Log+NumTweets_Month2_hashtags_LogDelta","61.8236044921192","54.0137839996622","73.0650396662286","54.1033383782041","4","2","7","7","71","-56.2","164.85399239181"
"7","NumTweets_Month1_hashtags_Log+NumTweets_Month2_hashtags_Log","60.7886334796762","54.271018382323","72.0500962459697","54.662231464916","4","2","7","7","71","-56.2","165.926448783683"
"8","NumTweets_Month1_hashtags_LogDelta+NumTweets_Month2_hashtags_LogDelta","64.6593990735649","59.7473040114197","76.1792581892635","59.7592432880857","4","2","7","7","71","-56.2","151.64416007382"
"9","NumTweets_Month1_hashtags_Log+NumTweets_Month2_hashtags_Log+NumTweets_Month1_hashtags_LogDelta+NumTweets_Month2_hashtags_LogDelta","61.680493566395","53.8542376072248","72.8939073052042","53.9006338903977","4","2","7","7","71","-56.2","166.826303458494"
"10","NumTweets_Week1_hashtags_Log","62.6711586960043","57.2263795193184","74.0402874768616","57.3471932152767","4","2","7","7","71","-56.2","158.342494513092"
"11","NumTweets_Week1_hashtags_LogDelta","62.6356433002735","58.7327926799076","74.0787617018817","58.7760476636105","4","2","7","7","71","-56.2","154.771523071202"
"12","NumTweets_Week1_hashtags_Log+NumTweets_Week1_hashtags_LogDelta","63.3972441215346","58.8208305984994","74.8641834847248","58.8973974200994","4","2","7","7","71","-56.2","156.596337588768"
"13","NumTweets_Month1_hashtags_Log+NumTweets_Week1_hashtags_Log","61.1472072010942","55.0288024479863","72.1361352270881","55.3691340731538","4","2","7","7","71","-56.2","167.360919928521"
"14","NumTweets_Month1_hashtags_LogDelta+NumTweets_Week1_hashtags_LogDelta","62.9415786693593","58.6904043636846","74.3315505513991","58.7232689564817","4","2","7","7","71","-56.2","154.725110970507"
"15","NumTweets_Month1_hashtags_Log+NumTweets_Week1_hashtags_Log+NumTweets_Month1_hashtags_LogDelta+NumTweets_Week1_hashtags_LogDelta","62.8867797995521","58.0841248120936","73.2391215436992","58.3617482591778","4","2","7","7","71","-56.2","170.008187042198"
"16","NumTweets_Month2_hashtags_Log+NumTweets_Week1_hashtags_Log","62.1243588774744","55.4128404757632","73.3814350297961","55.6376149786113","4","2","7","7","71","-56.2","162.154072019197"
"17","NumTweets_Month2_hashtags_LogDelta+NumTweets_Week1_hashtags_LogDelta","64.5555846613652","59.8408491813384","76.1311838212537","59.8520288281955","4","2","7","7","71","-56.2","151.348712028808"
"18","NumTweets_Month2_hashtags_Log+NumTweets_Week1_hashtags_Log+NumTweets_Month2_hashtags_LogDelta+NumTweets_Week1_hashtags_LogDelta","63.7095814654384","56.6827796683601","74.4192695389106","56.6860098780855","4","2","7","7","71","-56.2","165.590505693305"
"19","NumTweets_Week2_hashtags_Log","62.4092825065649","56.5634288854624","73.7762545173252","56.7250355191218","4","2","7","7","71","-56.2","160.24635702946"
"20","NumTweets_Week2_hashtags_LogDelta","62.8521483668168","58.5452659476753","74.2956592020389","58.5935133841895","4","2","7","7","71","-56.2","154.444017343435"
"21","NumTweets_Week2_hashtags_Log+NumTweets_Week2_hashtags_LogDelta","62.543622323904","56.7207238418756","73.9471255650773","56.8922055278239","4","2","7","7","71","-56.2","160.371957569536"
"22","NumTweets_Month1_hashtags_Log+NumTweets_Week2_hashtags_Log","61.1306829610619","55.7024165829355","72.2112356084446","55.9316821684301","4","2","7","7","71","-56.2","164.951265136899"
"23","NumTweets_Month1_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta","62.5493072245434","58.11356100772","73.9787631799287","58.1848818393705","4","2","7","7","71","-56.2","154.922600220858"
"24","NumTweets_Month1_hashtags_Log+NumTweets_Week2_hashtags_Log+NumTweets_Month1_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta","62.2083485086322","56.983067467428","73.2848918012669","57.2245593380272","4","2","7","7","71","-56.2","163.228801037647"
"25","NumTweets_Month2_hashtags_Log+NumTweets_Week2_hashtags_Log","62.0042671214023","55.3459333215803","73.2820226221535","55.568552344434","4","2","7","7","71","-56.2","162.718904556652"
"26","NumTweets_Month2_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta","64.7285633364256","60.1436965810691","76.3178156890723","60.1711857069128","4","2","7","7","71","-56.2","150.482388770402"
"27","NumTweets_Month2_hashtags_Log+NumTweets_Week2_hashtags_Log+NumTweets_Month2_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta","63.0383481205767","55.5260230373091","74.1760337323431","55.5418089489158","4","2","7","7","71","-56.2","163.465121488729"
"28","NumTweets_Week1_hashtags_Log+NumTweets_Week2_hashtags_Log","62.4873267418318","56.5474806037764","73.8442747631441","56.7226114253264","4","2","7","7","71","-56.2","160.603431222198"
"29","NumTweets_Week1_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta","62.6841916805455","59.1931920322075","74.1204417907741","59.209930044457","4","2","7","7","71","-56.2","153.914592536341"
