Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,36.09912659,12.98707474,52.77081557,12.9878794,9,7,10,9,180.810481,31.01048096,205.8043092
NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,38.95777533,16.82417848,54.66156037,16.83726167,7,6,9,9,146.5066961,-3.293303943,204.499441
NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,38.44428589,18.26570317,54.20643305,18.32257709,8,6,9,9,152.6685693,2.86856933,206.7082339
NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,46.80247048,34.43787217,59.25494024,34.46362665,7,5,9,8,52.37035425,-97.42964575,203.7955739
NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_opening_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,48.76009017,43.00985685,61.42790032,43.07164838,8,3,9,5,28.87891798,-120.921082,201.7363547
NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute,40.66532974,18.89540682,55.81885374,19.45504289,8,7,9,9,126.0160431,-23.78395687,206.876659
NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,39.16755015,28.17934805,53.11139773,28.7546109,11,5,11,7,143.9893982,-5.810601817,223.2260756
NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,46.68844823,26.74318733,63.09948019,26.76071097,6,7,9,9,53.73862126,-96.06137874,207.7039892
NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute,44.33476214,34.06722243,58.40968769,34.11128659,9,7,9,8,81.98285436,-67.81714564,205.8834675
NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute,49.19013945,48.41567049,59.67550248,48.67324831,6,4,9,8,23.71832658,-126.0816734,169.3479794
