Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
IJC+NumTweets_Month1_allold_Absolute,45.73689542,35.06763206,58.2252332,35.09342626,9,6,9,7,76.15725493,-106.6427451,242.9169909
IJC+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta,46.92133172,36.5993441,58.72499736,36.8460866,8,5,8,7,61.94401935,-120.8559807,236.0644946
IJC+NumTweets_Week1_allold_AbsoluteDelta,47.08841459,38.57416427,58.56809232,38.74118573,8,5,8,7,59.93902489,-122.8609751,243.8901484
IJC+NumTweets_Week1_opportunity_AbsoluteDelta,46.78239243,36.98877246,58.33453809,37.19065478,8,6,8,7,63.61129085,-119.1887091,242.3607341
IJC+NumTweets_Week2_all_AbsoluteDelta,46.23844047,35.36181098,58.10673998,35.58676769,8,5,8,7,70.13871434,-112.6612857,239.3282914
IJC+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta,46.28601196,35.48976644,58.12621285,35.71861414,8,5,8,7,69.56785651,-113.2321435,238.64601
IJC+NumTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week2_opening_Absolute,48.90494529,35.35442963,60.35085132,36.1759919,7,5,8,7,38.14065654,-144.6593435,194.5235498
IJC+NumPopularTweets_Month1_all_Absolute,50.44915965,42.21834197,61.36669682,43.55671076,7,5,8,7,19.61008415,-163.1899159,243.5673775
IJC+NumPopularTweets_Month1_opening_AbsoluteDelta,48.27892625,40.56128799,58.88187372,40.93845151,8,5,8,7,45.65288495,-137.1471151,239.5956334
IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_AbsoluteDelta,52.34088561,45.05573812,62.92963029,45.77905841,7,5,8,7,-3.090627345,-185.8906273,245.2524569
IJC+NumPopularTweets_Week2_allold_Absolute,46.93368057,40.46610415,59.42372764,41.18787794,9,5,9,7,61.79583315,-121.0041668,261.0134307
IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_allold_Absolute,49.48066332,40.03912891,61.073572,40.70795133,8,5,9,7,31.2320402,-151.5679598,255.6381487
IJC+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Week2_opening_Absolute,48.54152563,33.37385524,62.85118836,33.69167465,8,4,9,7,42.50169247,-140.2983075,280.9265245
IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opening_Absolute,53.702552,39.0252779,64.11851851,39.142238,7,3,8,6,-19.43062402,-202.230624,225.8721078
IJC+NumPopularTweets_Week2_all_AbsoluteDelta,45.47701246,33.15022513,58.22609609,33.32993532,9,5,9,7,79.27585048,-103.5241495,243.8725667
IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_allold_AbsoluteDelta,47.84846666,40.75345956,60.58062027,41.41946771,8,3,9,5,50.81840009,-131.9815999,188.4231182
IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,46.72191609,36.27955739,59.28309843,36.37009547,9,5,9,7,64.33700694,-118.4629931,247.8138488
IJC+NumPopularTweets_Week2_allold_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,51.06152104,41.84959072,59.15137194,42.00512315,6,5,7,7,12.26174756,-170.5382524,213.3512019
IJC+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_AbsoluteDelta,47.4143489,37.3855326,59.94771657,37.9864661,8,5,9,7,56.02781321,-126.7721868,260.597802
IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute,46.67915474,35.84729912,58.73761519,36.74084751,7,4,8,6,64.85014315,-117.9498569,255.7731005
IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute,43.08242776,28.61593738,59.35306779,29.40229379,9,5,10,7,108.0108669,-74.7891331,259.9444476
IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,45.55308509,41.28649731,55.26639327,41.34322983,8,5,10,8,78.36297896,-104.437021,271.3732913
IJC+NumTweets_Week2_allold_AbsoluteDelta+NumPopularTweets_Week2_allold_AbsoluteDelta,49.29265041,41.82704522,59.73093716,42.78137067,8,6,8,7,33.48819508,-149.3118049,224.8907821
IJC+NumVerifiedTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_opening_Absolute,54.14277565,38.39606752,70.62761708,42.35746594,7,6,7,7,-24.71330785,-207.5133079,239.2519503
