"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"539",539,"NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",41.4940170414836,34.4726512428962,57.6250295192098,37.7622064249275,8,7,9,9,127.071795502197,-55.7282044978033,282.955881327619
"747",747,"NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",41.770207246437,22.3761691768069,58.5992554612099,23.2459276661857,8,6,9,7,123.757513042756,-59.0424869572445,224.971882061267
"751",751,"NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",41.5143505614764,17.2350590979972,57.1758156952208,17.2350790891215,8,6,9,8,126.827793262283,-55.9722067377165,231.653268990809
"1204",1204,"NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",42.5060326700426,33.5447854851144,56.3943362066671,33.5448419186875,8,6,9,9,114.927607959488,-67.8723920405115,173.030742736358
"1673",1673,"IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opening_Absolute",44.5983280053722,33.4906779814508,57.564136402002,33.5170075901512,9,6,9,7,89.8200639355341,-92.9799360644659,247.626811661089
"1674",1674,"IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opening_Absolute",44.49811534228,33.7334881185652,57.5395666958587,33.7338892189143,9,6,9,7,91.0226158926401,-91.7773841073599,241.4684512848
"1677",1677,"IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute",44.9683159610835,33.8482740564942,57.7186149134595,33.8768223636069,9,6,9,7,85.3802084669984,-97.4197915330016,246.574209959006
"1678",1678,"IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute",44.8619508780946,34.0840210397881,57.6853354208675,34.0848383223607,9,6,9,7,86.6565894628654,-96.1434105371347,240.486441341793
"1696",1696,"IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta",44.4838125444748,29.9673975148899,58.1219574666559,30.005862209758,9,6,9,7,91.1942494663023,-91.6057505336977,251.067473895513
"1700",1700,"IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta",44.298215645247,29.4972157083331,58.0681512951201,29.5034470391753,9,6,9,7,93.4214122570357,-89.3785877429643,248.22513764249
"1703",1703,"IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opening_Absolute+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta",44.9394975709009,35.1517784660805,57.9520463980284,35.2022911236646,9,6,9,7,85.7260291491889,-97.0739708508111,245.683402839529
"1718",1718,"IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute",44.6819486928124,33.6300318345798,57.4750798482709,33.8332470980605,9,6,9,7,88.8166156862513,-93.9833843137487,250.202423414873
"1722",1722,"IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute",44.9547707859157,33.8075009976189,57.5966415296613,33.9891690310502,9,6,9,7,85.542750569012,-97.257249430988,249.675235058989
"1741",1741,"IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta",42.2526521537467,37.1641373891174,58.5748473001207,38.3165829276419,9,6,9,7,117.96817415504,-64.8318258449604,305.263935373448
"1743",1743,"IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta",44.7621120295687,30.4706272427521,57.8309287386931,30.4926688253286,9,6,9,7,87.8546556451758,-94.9453443548242,243.719697045723
"1747",1747,"IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta",44.6637390905703,37.5289858878828,57.7323754972678,37.6131809662634,9,6,9,7,89.0351309131568,-93.7648690868433,255.183890545231
"1781",1781,"IJC+NumTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta",44.6721297999084,28.9182179738515,58.5709167360774,29.0691482484833,9,6,9,7,88.9344424010998,-93.8655575989003,274.596152949856
"1804",1804,"IJC+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta",44.8645714496038,34.8272486600993,60.3004238118882,38.686803833193,9,6,9,7,86.6251426047542,-96.1748573952458,244.902963480246
"2001",2001,"IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",44.5923343595801,24.4796182321167,61.2365349184084,24.5688738183635,9,6,9,8,89.8919876850389,-92.9080123149611,312.862573895243
"2021",2021,"IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",43.0369551875875,28.2774899834694,59.5604854390723,29.2148461537542,9,6,10,8,108.556537748949,-74.2434622510505,256.479413699746
"2258",2258,"IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",44.2248984282472,37.7517330663513,60.2248904319374,37.7984065128477,9,6,10,7,94.3012188610337,-88.4987811389663,249.955626087301
"2448",2448,"IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta",41.8854463706677,20.232889186643,58.8216995186707,20.2380451531484,9,7,9,8,122.374643551988,-60.4253564480122,223.827430710169
"2718",2718,"IJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",41.5696028489587,29.1248802882871,58.0568500092465,30.9296364696816,10,7,10,8,126.164765812495,-56.6352341875049,220.016520139866
"2920",2920,"IJC+NumPopularTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",42.9230115564932,16.3218364034715,70.3500718046756,16.9622773224266,8,8,9,10,109.923861322082,-72.8761386779182,207.550294564938
"3053",3053,"IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",44.3890679066901,24.811401204522,62.8253091812029,24.9483014893321,9,7,9,8,92.3311851197192,-90.4688148802808,234.731304939209
"3813",3813,"DeltaIJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",42.858800253877,23.0156964547075,59.2899001256161,23.9728807842029,8,6,9,7,110.694396953476,-72.1056030465244,226.076575760026
"6029",6029,"OneMonthBefore_UnRevised+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.4621724326028,26.7658429389067,61.038585306474,26.8302679548673,8,6,9,8,91.453930808766,-91.346069191234,276.763092473143
"7041",7041,"OneMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",44.4208427448081,39.5239773615658,58.505293424608,39.6659508430329,8,6,9,7,91.9498870623025,-90.8501129376976,212.66706922591
"7047",7047,"OneMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta",44.0192737992891,32.8650128016427,57.7518776990491,32.8840392975538,8,6,9,8,96.7687144085309,-86.0312855914692,232.690955385191
"7084",7084,"OneMonthBefore_UnRevised+IJC+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",44.9092408848035,40.6302481909314,56.9643573659096,41.289647028932,9,7,9,9,86.0891093823585,-96.7108906176415,224.425725050082
"7294",7294,"OneMonthBefore_UnRevised+IJC+NumTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",41.3696655072595,25.109781851683,58.6842957560523,26.0104634852243,9,6,9,7,128.564013912886,-54.2359860871136,223.2304545455
"7317",7317,"OneMonthBefore_UnRevised+IJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",40.9619557968291,33.7409579395731,55.2775545136251,33.7927600744667,8,8,9,9,133.456530438051,-49.3434695619487,228.614615020526
