,Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2
1,NumTweets_Month1_all_Absolute,69.57165467,61.80856629,79.97631275,61.82564514,4,2,6,7,-209.859856,-392.659856
2,NumTweets_Month1_allold_Absolute,69.24666009,61.52919473,79.68012886,61.55297939,4,2,6,7,-205.9599211,-388.7599211
3,NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute,68.90410544,61.74800932,78.84730715,61.76864462,4,2,6,7,-201.8492652,-384.6492652
4,NumTweets_Month1_opportunity_Absolute,69.38879903,61.4050153,79.84272001,61.42093923,4,2,6,7,-207.6655883,-390.4655883
5,NumTweets_Month1_all_Absolute+NumTweets_Month1_opportunity_Absolute,69.37178383,61.31617743,79.67468141,61.33213067,4,2,6,7,-207.4614059,-390.2614059
6,NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute,69.33819378,61.41801044,79.79775661,61.43659097,4,2,6,7,-207.0583254,-389.8583254
7,NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute,68.94550025,61.59546118,78.88890842,61.6120396,4,2,6,7,-202.346003,-385.146003
8,NumTweets_Month1_opening_Absolute,69.13406675,61.48009004,79.46111084,61.5001983,4,2,6,7,-204.608801,-387.408801
9,NumTweets_Month1_all_Absolute+NumTweets_Month1_opening_Absolute,68.87764793,61.45711784,78.79370986,61.47648039,4,2,6,7,-201.5317751,-384.3317751
10,NumTweets_Month1_allold_Absolute+NumTweets_Month1_opening_Absolute,69.22371957,61.95582653,79.50981034,61.97744169,4,2,6,7,-205.6846348,-388.4846348
11,NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opening_Absolute,68.96543266,62.26903151,78.82887376,62.28675865,4,2,6,7,-202.5851919,-385.3851919
12,NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute,69.12775843,60.85021941,79.53046871,60.86795593,4,2,6,7,-204.5331011,-387.3331011
13,NumTweets_Month1_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute,68.53892041,60.81615452,78.30092441,60.83477571,4,2,6,7,-197.4670449,-380.2670449
14,NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute,69.4293061,62.55076639,79.55469889,62.55739098,4,2,6,7,-208.1516732,-390.9516732
15,NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute,69.16643656,62.85802189,78.87788738,62.86265473,4,2,6,7,-204.9972387,-387.7972387
16,NumTweets_Month1_all_AbsoluteDelta,70.03632999,62.45777693,80.48063353,62.46432686,4,2,6,7,-215.4359599,-398.2359599
17,NumTweets_Month1_allold_AbsoluteDelta,69.47187214,62.55343655,79.65208137,62.5709233,4,2,6,7,-208.6624657,-391.4624657
18,NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta,70.52158836,63.02942744,80.73308267,63.0311569,4,2,6,7,-221.2590604,-404.0590604
19,NumTweets_Month1_opportunity_AbsoluteDelta,69.36720904,62.27540639,79.69697829,62.30312378,4,2,6,7,-207.4065085,-390.2065085
