Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
IJC+NumTweets_Month1_allold_Absolute,45.73689542,35.06763206,58.2252332,35.09342626,9,6,9,7,76.15725493,-106.6427451,242.9169909
IJC+NumTweets_Month1_opportunity_Absolute,45.99095357,35.63154686,58.13909987,35.65669401,9,6,9,7,73.10855711,-109.6914429,243.1828236
IJC+NumTweets_Month1_opening_Absolute,46.25170789,35.83345261,58.24560122,35.94436041,9,6,9,7,69.97950535,-112.8204947,242.9420687
IJC+NumTweets_Month1_opportunity_AbsoluteDelta,46.68041922,36.52147886,58.3344526,36.80014073,8,6,8,7,64.83496936,-117.9650306,241.7550321
IJC+NumTweets_Week1_allold_AbsoluteDelta,47.08841459,38.57416427,58.56809232,38.74118573,8,5,8,7,59.93902489,-122.8609751,243.8901484
IJC+NumTweets_Week1_opportunity_AbsoluteDelta,46.78239243,36.98877246,58.33453809,37.19065478,8,6,8,7,63.61129085,-119.1887091,242.3607341
IJC+NumTweets_Week2_all_AbsoluteDelta,46.23844047,35.36181098,58.10673998,35.58676769,8,5,8,7,70.13871434,-112.6612857,239.3282914
IJC+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta,46.28601196,35.48976644,58.12621285,35.71861414,8,5,8,7,69.56785651,-113.2321435,238.64601
IJC+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta,46.10517971,35.45309037,57.9563306,35.64768604,8,6,8,7,71.73784349,-111.0621565,241.6733245
IJC+NumPopularTweets_Week2_allold_Absolute,46.93368057,40.46610415,59.42372764,41.18787794,9,5,9,7,61.79583315,-121.0041668,261.0134307
IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_allold_Absolute,49.48066332,40.03912891,61.073572,40.70795133,8,5,9,7,31.2320402,-151.5679598,255.6381487
IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_opening_Absolute,53.28075548,38.55911815,64.34163435,38.56465788,7,4,8,6,-14.36906574,-197.1690657,239.1136858
IJC+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Week2_opening_Absolute,48.54152563,33.37385524,62.85118836,33.69167465,8,4,9,7,42.50169247,-140.2983075,280.9265245
IJC+NumPopularTweets_Week2_all_AbsoluteDelta,45.47701246,33.15022513,58.22609609,33.32993532,9,5,9,7,79.27585048,-103.5241495,243.8725667
IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_allold_AbsoluteDelta,47.84846666,40.75345956,60.58062027,41.41946771,8,3,9,5,50.81840009,-131.9815999,188.4231182
IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,46.72191609,36.27955739,59.28309843,36.37009547,9,5,9,7,64.33700694,-118.4629931,247.8138488
IJC+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_AbsoluteDelta,47.4143489,37.3855326,59.94771657,37.9864661,8,5,9,7,56.02781321,-126.7721868,260.597802
IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute,43.08242776,28.61593738,59.35306779,29.40229379,9,5,10,7,108.0108669,-74.7891331,259.9444476
IJC+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute,48.72431694,47.18436253,59.63010193,47.31418972,6,6,7,8,40.30819673,-142.4918033,263.5426661
IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,45.55308509,41.28649731,55.26639327,41.34322983,8,5,10,8,78.36297896,-104.437021,271.3732913
IJC+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,46.06593085,36.02053042,58.50194546,36.5249793,9,5,9,7,72.20882974,-110.5911703,240.2164233
IJC+NumVerifiedTweets_Month1_all_Absolute,47.86400849,39.84093303,58.41435314,41.62644657,8,5,8,7,50.63189818,-132.1681018,234.9126026
IJC+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta,51.58497792,48.17114868,63.92170893,48.81066283,9,5,9,6,5.980264923,-176.8197351,241.7747013
IJC+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_opportunity_AbsoluteDelta,65.21313701,36.84385458,91.12114686,37.23432222,7,4,9,6,-157.5576441,-340.3576441,238.6040506
IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,42.31336221,24.63907419,56.40570162,24.74360162,8,7,8,8,117.2396534,-65.56034657,229.5181584
IJC+NumVerifiedTweets_Week1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,61.06960797,33.31054892,85.83863279,33.35491254,6,4,8,7,-107.8352956,-290.6352956,229.5621782
IJC+NumTweets_Week1_opening_Absolute+NumVerifiedTweets_Week1_opening_Absolute,57.50848455,41.47223786,72.06213705,43.61108841,5,5,6,7,-65.10181462,-247.9018146,233.2336906
IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,42.05101459,25.35916018,56.69286245,25.6110711,8,6,8,7,120.387825,-62.41217502,233.3767068
OneMonthBefore_UnRevised+IJC+NumTweets_Week2_all_AbsoluteDelta,47.84348077,42.24940324,58.63366115,42.25003504,7,5,8,6,50.87823079,-131.9217692,249.2044668
OneMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,43.62949478,29.62887741,59.33815585,30.25432115,7,5,7,7,101.4460627,-81.35393733,261.1380086
OneMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,45.91019143,27.15282746,61.07098242,28.40136875,8,6,8,7,74.07770287,-108.7222971,244.4529378
OneMonthBefore_UnRevised+IJC+NumTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,44.57906082,29.62903421,59.5598829,30.31169152,8,5,8,7,90.05127018,-92.74872982,261.7287377
OneMonthBefore_UnRevised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta,48.68374112,39.78287628,62.59398467,39.87911445,8,4,8,6,40.79510651,-142.0048935,277.5191588
OneMonthBefore_Revised+IJC+NumTweets_Month1_all_AbsoluteDelta,46.67573694,41.10935956,60.27917375,41.10954073,9,6,9,7,64.8911567,-117.9088433,242.6656577
OneMonthBefore_Revised+IJC+NumTweets_Week1_opportunity_AbsoluteDelta,46.76757499,40.33180708,60.36808669,40.36245929,9,6,9,7,63.78910014,-119.0108999,246.4396133
OneMonthBefore_Revised+IJC+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,49.33101134,40.45691114,62.60314612,40.59197875,6,5,7,6,33.02786386,-149.7721361,212.1486421
OneMonthBefore_Revised+IJC+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,48.62342713,35.10377164,61.1698025,35.15280121,7,6,7,7,41.51887442,-141.2811256,226.6442441
OneMonthBefore_Revised+IJC+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta,46.4091048,40.98597337,60.05665721,40.98942483,9,6,9,7,68.09074246,-114.7092575,241.3045327
OneMonthBefore_Revised+IJC+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta,46.25484124,40.73116263,59.87741315,40.76771123,9,6,9,7,69.94190518,-112.8580948,244.6284572
OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_opening_AbsoluteDelta,47.50708554,42.37004992,60.31686022,42.37039331,9,6,9,7,54.91497357,-127.8850264,244.3662538
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_allold_Absolute,48.79460251,36.41361879,62.34724113,36.62759161,8,5,8,7,39.46476988,-143.3352301,253.8917298
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Week2_opening_Absolute,51.55651955,33.60205789,67.07649042,33.69506946,6,4,7,7,6.321765438,-176.4782346,271.8472231
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opening_Absolute,48.97172923,34.52708551,61.4619739,34.56837869,6,4,7,7,37.33924918,-145.4607508,254.2059072
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_allold_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,50.30887628,45.50290152,60.33211925,45.50932308,6,6,6,7,21.29348469,-161.5065153,216.4018091
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,45.06289289,37.39656368,60.61026425,37.40817681,9,6,9,7,84.24528527,-98.55471473,235.8008789
