"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",45.81481281,33.7888187,60.04625776,34.9926299,8,5,9,7,75.22224631,-107.5777537,231.5867311
"4","NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",46.93368486,32.19150166,59.94053117,32.39323827,8,4,9,7,61.79578163,-121.0042184,167.1041522
"6","NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",41.51435056,17.2350591,57.1758157,17.23507909,8,6,9,8,126.8277933,-55.97220674,231.653269
"10","NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",48.10873707,29.22945118,61.65179,29.43715223,8,2,9,5,47.69515519,-135.1048448,270.6805374
"137","IJC+NumPopularTweets_Month1_allold_Absolute",47.9134553,40.96979511,59.68302358,41.95891999,8,5,9,7,50.03853644,-132.7614636,250.0725607
"139","IJC+NumPopularTweets_Month1_opening_Absolute",46.55334303,39.47837491,58.43581772,40.02031779,9,6,9,7,66.35988362,-116.4401164,246.4370025
"143","IJC+NumPopularTweets_Week1_opening_Absolute",46.20749522,37.95854865,58.04922406,38.07397915,9,6,9,7,70.51005732,-112.2899427,256.0226205
"150","IJC+NumPopularTweets_Week2_allold_Absolute",46.93368057,40.46610415,59.42372764,41.18787794,9,5,9,7,61.79583315,-121.0041668,261.0134307
"151","IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_allold_Absolute",49.48066332,40.03912891,61.073572,40.70795133,8,5,9,7,31.2320402,-151.5679598,255.6381487
"152","IJC+NumPopularTweets_Week2_opportunity_Absolute",46.91795116,35.85037432,59.44404589,36.28276163,8,5,9,7,61.98458611,-120.8154139,259.8240713
