"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","L1_conf","medianL1_conf","L2_conf","medianL2_conf","Win1_conf","Win2_conf","DirectionalWin1_conf","DirectionalWin2_conf","WeightedWin1_conf","WeightedWin2_conf"
"5",5,"NumTweets_Month1_all_Absolute+NumTweets_Month1_opportunity_Absolute",47.3304741410551,38.7307114525845,61.7856167737909,39.3234368715324,5.5,5,7,6,111.925423895848,-20.874005667645,4.66728590556089,6.88541543715598,6.76384844479325,7.2973888023127,1,1,1,1,54.4831139268959,22.3767102783459
"22",22,"NumTweets_Month1_all_AbsoluteDelta",49.2498954096789,38.0533391960101,62.0372961817776,38.5041929825986,6,5,7,6,157.697196242472,-29.2930398868892,2.7059703136165,6.37942276271799,3.53867863969023,6.37682810832963,0,1,1,0,50.313005678858,45.1068594089401
"91",91,"NumTweets_Week1_opening_AbsoluteDelta",49.8772151384909,45.1658129435494,60.2561253183766,45.2288213534122,5,4,7,6,97.3766813636322,-36.9733977625686,5.70060469172456,2.34193373456016,1.37632735606972,2.30977097146844,0,1,1,1,19.3455717661853,22.5927950431229
"102",102,"NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_hiring_AbsoluteDelta",49.2330934115482,37.63811720586,61.8560238669937,39.2537441246261,6,5,7,7,112.47537498898,-26.3498699215959,2.79772696216966,3.84784226868724,2.93364665023157,4.21232723846973,1,0,1,1,35.6614451850579,20.1910346563817
"103",103,"NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_hiring_AbsoluteDelta",49.8677413772713,37.4179630051921,63.1154214369362,37.735450670895,6,5,7,6,128.142596306889,11.1564761638016,3.86799078992365,5.10411597816081,3.40354218708531,4.59296365240016,0,0,0,1,42.6868252384254,38.6596742597913
"208",208,"NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_hiring_Absolute",47.7104829551159,35.3246984052604,65.0181293392371,35.7614960837488,6,5,7,6.5,119.070963979751,-20.7819370148196,4.94386474531726,4.02255646412499,5.19652577024459,3.89083312553029,1,0,1,1,29.7677422718041,51.227328067594
"226",226,"NumTweets_Week2_hiring_AbsoluteDelta",45.9457686703071,35.9218628071689,55.5698211809938,36.0629561103896,6,5,7,6,134.793254930295,26.543616838648,2.83190424865572,3.18910708321564,5.60115851792312,4.72742335699978,1,0,1,1,37.669692037397,22.6617087682063
"230",230,"NumTweets_Week2_opening_AbsoluteDelta+NumTweets_Week2_hiring_AbsoluteDelta",48.2719649602342,34.9969935479175,60.4478338845781,36.3748042695747,6,5,7,6,118.02326698573,-21.720554195431,5.43303316005264,5.58668606948319,3.96219856656615,5.59361626447003,0,1,0,0,60.3673654284966,53.5349040802243
"352",352,"NumTweets_Week1_hiring_AbsoluteDelta+NumTweets_Week2_hiring_AbsoluteDelta",49.0213011700286,36.4232597558953,62.1789368521277,36.7645206638281,6,5,7,7,116.149838498167,-15.8422013463627,4.36716981711427,3.39416420511058,7.58331972536883,3.43237314760416,1,0,0,1,21.0508595672081,25.6525922050802
"381",381,"NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Month1_allold_Absolute",44.9617545867769,32.9811114593759,58.1216370993231,33.6625615755604,6,5,7,7,130.367962781289,20.0210577029512,3.08533760402156,3.84988549051945,5.93507442925961,4.77828048177974,0,0,1,1,51.6852410315672,37.9204178306894
