"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2"
"1084",1084,"NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",40.9368739131037,22.3761691768069,57.5194209486339,23.2459276661857,8,6,9,7,123.757513042756,-59.0424869572445
"1269",1269,"NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Week1_posting_Absolute+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Month1_posting_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",42.7387348877731,36.3594424965011,56.219680170916,36.7514749654521,8,6,10,8,102.135181346723,-80.6648186532774
"1749",1749,"NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",43.2501041524975,33.5447854851144,56.4602680742409,33.5448419186875,8,6,9,9,95.9987501700304,-86.8012498299696
"4472",4472,"IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_hiring_Absolute",44.7314030766606,38.2503440895037,56.8376154089349,39.0884874225579,8,6,9,8,78.2231630800727,-104.576836919927
"4535",4535,"IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_hiring_Absolute+NumTweets_Week2_hiring_Absolute",44.8416886644041,41.1727358781106,57.3154029522314,42.0615713735732,8,6,9,8,76.899736027151,-105.900263972849
"4563",4563,"IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta",42.5900793559225,40.4357351390121,57.7799386793313,40.6782962813071,8,6,9,7,103.919047728929,-78.8809522710705
"4565",4565,"IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta",43.7656325205102,32.7738616429163,56.6375534389481,33.826685960786,9,6,9,7,89.8124097538774,-92.9875902461226
"4569",4569,"IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta",43.8299398062899,40.6896448630855,56.676971444088,41.6656453298814,9,6,9,7,89.0407223245215,-93.7592776754785
"4578",4578,"IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_hiring_Absolute+NumTweets_Week2_hiring_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Month1_hiring_AbsoluteDelta+NumTweets_Week2_hiring_AbsoluteDelta",43.7281890582163,32.8144484099479,56.7320634219395,35.9558078222006,9,6,9,8,90.261731301404,-92.538268698596
"4579",4579,"IJC+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_hiring_Absolute+NumTweets_Week2_hiring_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumTweets_Month1_hiring_AbsoluteDelta+NumTweets_Week2_hiring_AbsoluteDelta",43.4155439239653,36.6030449852671,56.0745406457536,38.8782348393251,8,6,9,8,94.0134729124162,-88.7865270875838
"4600",4600,"IJC+NumTweets_Week1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week1_hiring_Absolute+NumTweets_Week2_hiring_Absolute",44.7982690131045,39.8364768835698,57.4254742628009,40.6437754958027,8,6,9,8,77.4207718427459,-105.379228157254
"4641",4641,"IJC+NumTweets_Week1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week1_hiring_Absolute+NumTweets_Week2_hiring_Absolute+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week1_hiring_AbsoluteDelta+NumTweets_Week2_hiring_AbsoluteDelta",44.109924654259,41.3704211305451,56.6613428463853,42.4270604331272,8,6,9,8,85.6809041488915,-97.1190958511086
"4642",4642,"IJC+NumTweets_Week1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week1_hiring_Absolute+NumTweets_Week2_hiring_Absolute+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumTweets_Week1_hiring_AbsoluteDelta+NumTweets_Week2_hiring_AbsoluteDelta",44.4077514432286,39.8600282579629,56.7241178309828,40.7464023476821,8,6,9,8,82.1069826812567,-100.693017318743
"5366",5366,"IJC+NumVerifiedTweets_Month1_posting_Absolute",43.3832001823054,43.0638368465203,55.5766512723861,43.5258114883888,8,6,9,7,94.4015978123351,-88.3984021876649
"5367",5367,"IJC+NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_posting_Absolute",44.4275164068529,45.4145209152859,56.0419382738467,46.3901849216996,8,6,9,8,81.869803117765,-100.930196882235
"5408",5408,"IJC+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Month1_posting_AbsoluteDelta",44.1336491243155,45.5435137326232,57.4797060724576,45.674580118322,8,6,9,7,85.3962105082136,-97.4037894917864
"5450",5450,"IJC+NumVerifiedTweets_Week1_posting_AbsoluteDelta",42.3559094453575,34.4633391544257,54.7095461211886,36.0970504304919,9,7,9,8,106.72908665571,-76.0709133442896
"5451",5451,"IJC+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",43.5423482707701,36.2618347335014,55.4702394842213,37.5505579961444,9,7,9,8,92.4918207507582,-90.3081792492418
"5460",5460,"IJC+NumVerifiedTweets_Week1_posting_AbsoluteDelta+NumVerifiedTweets_Week1_hiring_AbsoluteDelta",44.241793731926,38.1771874501513,57.4749475231074,40.7128605209402,9,7,9,8,84.0984752168877,-98.7015247831124
"5471",5471,"IJC+NumVerifiedTweets_Week1_posting_Absolute+NumVerifiedTweets_Week1_posting_AbsoluteDelta",43.0227072639831,35.6099500103038,55.5522100553639,36.9387918471495,9,7,9,8,98.7275128322026,-84.0724871677975
"5513",5513,"IJC+NumVerifiedTweets_Month1_posting_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",44.770733035193,37.9888658693943,55.9401543457233,38.5362027513586,9,6,9,8,77.7512035776838,-105.048796422316
"5534",5534,"IJC+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Week1_posting_Absolute+NumVerifiedTweets_Month1_posting_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",40.6283880937141,35.0767413377133,53.6157091592605,35.0812757777861,9,7,9,9,127.45934287543,-55.3406571245698
"5569",5569,"IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",42.3903759444232,26.3643812130463,55.7281664868363,27.0654775550601,9,7,9,8,106.315488666922,-76.484511333078
"5575",5575,"IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta",42.3936803298775,23.4354779032233,60.4906943036109,24.5673453367427,9,7,9,8,106.27583604147,-76.5241639585296
"5579",5579,"IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_posting_AbsoluteDelta",43.8846972210596,28.2048781716729,57.4268320448231,30.0484109378653,9,7,9,8,88.3836333472846,-94.4163666527154
"5617",5617,"IJC+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute",44.061381934882,27.7901843768581,60.7166614800495,27.7979240086903,8,7,9,8,86.2634167814157,-96.5365832185843
"5618",5618,"IJC+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Week2_posting_Absolute",44.5529937197028,44.9647919931925,56.2138467323245,45.3915290175986,8,6,9,7,80.3640753635659,-102.435924636434
"5621",5621,"IJC+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Week2_posting_Absolute",43.5000864873936,34.486291816977,59.4707930212914,35.4030939244712,10,9,10,10,92.9989621512771,-89.8010378487229
"5744",5744,"IJC+NumTweets_Month1_posting_Absolute+NumVerifiedTweets_Month1_posting_Absolute",44.1642464720641,42.3073863858104,55.7880001196348,42.9391212078647,8,6,9,7,85.0290423352312,-97.7709576647689
"5932",5932,"IJC+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",42.4755251985503,26.8860392422648,55.8190472248503,27.7412201462188,9,7,9,8,105.293697617396,-77.5063023826041
"5942",5942,"IJC+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumTweets_Week2_posting_AbsoluteDelta+NumVerifiedTweets_Week2_posting_AbsoluteDelta",43.9209644978659,28.6625144134488,57.6941643538165,30.7620773023715,9,7,9,8,87.9484260256098,-94.8515739743902
"5974",5974,"IJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",40.0708835892252,24.0390711140288,56.8729494465542,24.448802766804,8,9,9,10,134.149396929298,-48.6506030707019
"6161",6161,"IJC+NumPopularTweets_Week1_posting_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",38.5361677743447,23.4433459929014,52.363785061139,23.9420427073266,8,7,10,8,152.565986707864,-30.2340132921362
"6162",6162,"IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_posting_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",40.8709622506651,31.9489454518159,51.6375520354067,32.8460452682194,8,6,10,8,124.548452992018,-58.2515470079816
"6265",6265,"IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",42.2725228396662,27.0099589015517,56.005761660851,27.4582910130681,9,6,9,7,107.729725924005,-75.0702740759949
"6275",6275,"IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta+NumVerifiedTweets_Week2_posting_AbsoluteDelta",41.8486864916694,29.2692442205134,58.0206555995283,30.4543446992343,10,6,10,7,112.815762099967,-69.9842379000332
"6307",6307,"IJC+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",43.5465136389235,29.273320112143,62.1057842247003,29.2946632453103,8,6,10,8,92.4418363329176,-90.3581636670824
"6383",6383,"IJC+NumPopularTweets_Week1_posting_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta+NumVerifiedTweets_Week2_posting_AbsoluteDelta",39.7955150794574,22.3417838862705,55.8141709311894,23.3229386666615,9,8,10,9,137.453819046512,-45.3461809534882
"8107",8107,"IJC+Consensus1+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",44.409934461203,22.9597475066776,59.9846365265,22.9597515476305,9,6,9,7,82.0807864655644,-100.719213534436
"8357",8357,"IJC+Consensus1+NumPopularTweets_Month1_posting_AbsoluteDelta+NumVerifiedTweets_Month1_posting_AbsoluteDelta+NumPopularTweets_Week1_posting_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",42.2190901955787,30.1773354283733,54.1633477472393,30.1773649321819,9,6,9,8,108.370917653056,-74.4290823469442
