"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","L1_conf","medianL1_conf","L2_conf","medianL2_conf","Win1_conf","Win2_conf","DirectionalWin1_conf","DirectionalWin2_conf","WeightedWin1_conf","WeightedWin2_conf"
"3500",3500,"Consensus1+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",46.8765593076642,41.8095543984521,57.7910254085661,42.3180288195775,5.48,6.18,6.36,7.68,5.62440692335766,135.674406923358,5.95287048447447,8.84430615161793,6.17007557905555,8.81486126086216,0.785864906765376,0.82739270816116,0.67221907440647,0.621676353927342,42.9802344871459,82.8719357880415
"4488",4488,"IJC+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_posting_AbsoluteDelta",46.0227721285401,39.0433290646441,58.9015733041847,39.7794258482526,5.54,5.78,6.18,7.28,-16.4777212854012,127.934278714599,7.81182293196321,10.367412421334,9.57089234345256,10.4251562401708,0.908950070952374,0.816926531581359,0.804798539287686,0.565774761376645,77.2751086511522,102.009938465497
"4544",4544,"IJC+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta",48.0207476253099,36.6074682517701,63.9763700798417,37.64733890984,5.76,5.74,6.22,7.14,-17.8674762530991,119.394523746901,7.84958598747292,8.84022434344607,10.2631519555484,9.01633543594809,0.862811675732287,0.842994157843249,0.794034604612976,0.866011367409087,78.0080122839126,104.925226870463
"4897",4897,"IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute",45.1839823336298,36.6598478827725,58.0037399370523,37.3770828434788,5.78,6,6.42,7.14,14.5601766637018,145.460176663702,5.33473308785192,8.32774740090716,7.20267659621716,8.33636294209401,0.778399394186842,0.727038330301443,0.776818565190867,0.735527245339012,45.7739085288381,73.4551990155507
"4900",4900,"IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",42.5745362468237,36.0616049753962,55.2455916174514,36.6722009580751,5.46,6.12,6.2,7.26,16.0246375317633,168.084637531763,5.23393479188022,7.03404008516188,6.59767425455139,7.01195086087766,0.619398236468561,0.827021196890955,0.655929407724445,0.7504179711622,46.4071390206932,89.4608763539511
"4904",4904,"IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",48.7994882248267,40.1335242752291,62.2745473262749,40.915537594251,5.42,5.54,6.42,6.74,-26.8048822482674,86.3251177517326,6.67711983248221,8.72807736632616,7.79576451451178,8.70209314207499,0.727798786662818,0.761798442476685,0.666064858917149,0.813307123572001,49.385654115501,85.312514790264
"4912",4912,"IJC+NumPopularTweets_Month1_hiring_Absolute+NumPopularTweets_Week2_hiring_Absolute",46.7972517104582,40.595986959762,59.3660458320729,41.436433037243,5.26,5.82,6.12,7.2,-37.8825171045819,147.339482895418,5.65337381856405,8.40883812000574,6.90764115154788,8.56151544291937,0.857452323228697,0.773647216717483,0.863381376471635,0.709929149475544,56.1083120129018,102.905643957332
"4913",4913,"IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_hiring_Absolute+NumPopularTweets_Week2_hiring_Absolute",49.2568735605248,43.1084883554567,60.9760513299658,44.1173803580245,5.2,5.84,6.32,7.38,-9.98873560524829,145.465264394752,6.22148124929168,7.93972086819322,6.82853466531482,7.85334931254175,0.822251027632174,0.962484014167524,0.779582912270643,0.893124426493584,58.6023392002204,100.911959714768
"4918",4918,"IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",46.783047287707,37.6925138185006,59.8943291910182,38.3015822512482,5.18,5.06,6.04,6.64,-23.7304728770696,134.39752712293,5.31305300732855,7.02368208132705,7.11947552969787,7.05813820434796,0.932184915621132,0.889815014736719,0.829395993443022,0.663012681454639,57.0509279317566,98.480895416682
"4928",4928,"IJC+NumPopularTweets_Month1_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",46.9590923633429,37.9847606884432,60.9987917092101,39.063640377575,5.72,5.64,6.12,6.98,-9.26092363342939,127.045076366571,5.85695896655783,8.44544316087268,7.38805367327671,8.45770160577466,0.985704061369599,0.725006547110588,0.938427808478886,0.76405419576313,55.5896494013644,85.5599757725256
"4929",4929,"IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",47.6000108397809,41.0236807331844,60.1758697638025,41.4968865057933,5.72,5.14,6.64,6.46,7.13989160219127,113.379891602191,5.78351011918294,8.02322777984452,7.4171048150331,7.98222375196454,0.822549973661914,0.927690520873069,0.820455064015009,0.874486643896418,48.9988292276474,80.4356193387878
