"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","L1_conf","medianL1_conf","L2_conf","medianL2_conf","Win1_conf","Win2_conf","DirectionalWin1_conf","DirectionalWin2_conf","WeightedWin1_conf","WeightedWin2_conf"
"133",133,"NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute",49.5561696521125,44.0988036587373,62.9544975506127,44.7484979014132,4,5,5.5,7,-52.6746273958138,108.067921907649,4.26705238615185,2.15965759308912,3.73455320845046,3.04455463565964,0,0,1,0,19.3430355683468,77.1752818109505
"1135",1135,"NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta",47.731885383789,35.5720897094095,62.7045497250549,36.6832638168858,5,5,5.5,7,-31.8491035647051,132.660837049376,3.92083027870562,4.71472516896077,2.43742814823471,4.63876157232484,0,1,1,0,49.4777203166943,39.9645022044217
"1145",1145,"NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Month1_posting_AbsoluteDelta",47.5567697336176,43.7727369448523,59.9195405449429,44.177022619775,5,4,5.5,7,-15.8965835251502,19.1415308352823,4.23593714901161,4.17145106194747,4.77387840541546,3.3876454611828,0,1,1,1,65.0622741375201,60.9606114867256
"1321",1321,"NumVerifiedTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_AbsoluteDelta",49.34306007719,34.9885452320031,62.1413500236354,36.3787743957813,5,5,6,6,-32.7494268118154,68.2214805336219,3.42330308920585,6.74055734756678,2.08575817623905,7.50117225610602,0,0,1,0,50.2543627859143,62.2959084925247
"1355",1355,"NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_posting_Absolute+NumVerifiedTweets_Week2_posting_Absolute",47.1133214442769,33.5604484448492,61.3724405755989,35.7085138746963,5,6,6,7,1.85892830493219,158.904732053585,4.43450081851092,5.20383046762824,4.29009530824296,4.61560066127153,0,1,1,1,30.9214457780534,107.811490075865
"2082",2082,"NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",45.0056587370309,34.9506217712932,61.2962975913869,34.9677126993619,5,6,6,7.5,-42.5108695394314,117.12486988384,4.48431741697421,4.26277362002054,5.25621525069146,3.81348147254803,1,0,0,1,34.1123249592865,39.1013761900177
"2780",2780,"Consensus1+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_hiring_Absolute+NumPopularTweets_Week2_hiring_Absolute",48.9771356775319,42.0084364997809,60.321704661438,42.059014407346,4,5,6,7,-29.5477964805853,94.9583327161669,3.70065519668722,7.18229467416636,1.55108222187415,7.67679072682155,1,0,1,1,23.8748950161578,92.3778128158499
"2787",2787,"Consensus1+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_allold_AbsoluteDelta+NumPopularTweets_Week2_allold_AbsoluteDelta",45.5947819233964,39.3796032472062,54.794877415281,39.9634263839002,5,6,6,7,24.7903740278645,119.030109248117,3.49200459921939,2.32694470058993,5.90572839708454,1.58719674563861,0,1,1,0,13.1376514875628,56.002225639075
"2822",2822,"Consensus1+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_hiring_Absolute+NumPopularTweets_Week2_hiring_Absolute+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_hiring_AbsoluteDelta+NumPopularTweets_Week2_hiring_AbsoluteDelta",49.2456638127709,43.9521790797078,59.7507938235018,44.8744914736853,4,5,6,7,-44.5223661390752,47.2274904667333,5.35669579340606,2.52762476002282,4.52821961499596,3.01776717900037,0,0,1,0,36.6746583180751,11.6097208267034
"3233",3233,"Consensus1+NumVerifiedTweets_Month1_posting_Absolute",46.158500517326,40.4380222337759,56.3566815512507,40.4585550004108,5,5,6,7,9.03005269295885,114.041778555969,2.94970979391108,5.04804170114284,5.11969121934539,4.35299509437453,1,0,0,1,21.88480081308,22.9775120397906
"3248",3248,"Consensus1+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta",46.9340543280212,40.7384629040078,57.9922922126237,41.9541754888039,5,5,6,7,-7.38842030679151,95.0543962982092,4.42365196566728,7.33114211953094,3.0470017885261,8.14581709256114,0,0,1,1,25.6297559788223,98.2128747990633
"3268",3268,"Consensus1+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta",47.8649560564132,39.7428381830992,58.6535873523804,39.7886813657884,5,6,5.5,7,-12.7258452653391,118.195136074461,4.84292493759155,7.30978670350234,6.84100561762522,7.72383464348668,0,1,1,0,15.1880952867541,45.4761705014895
"3319",3319,"Consensus1+NumVerifiedTweets_Week1_allold_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",49.4605197897941,35.4343856568049,61.1819729241345,36.2462002768543,5,6,6,7,14.1371116865807,145.54816775853,5.29644852867568,4.61772994580235,6.89630522645369,4.04519644432242,2,0,1,1,26.1504962791372,65.2306401679767
"3340",3340,"Consensus1+NumVerifiedTweets_Week1_allold_Absolute+NumVerifiedTweets_Week1_posting_Absolute+NumVerifiedTweets_Week1_allold_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",45.6971114880813,35.9366982124154,55.9603283668661,35.9509695909276,5,5,6,7,-14.6870705504435,104.566522001209,1.65504343731808,10.0227472378658,3.8864837395329,9.73858542129766,1,1,1,0,36.5367411769838,56.6217362320326
"3437",3437,"Consensus1+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",44.8332706291473,37.3337037693606,55.0643830488722,38.1223925757119,5,6,6,7,18.7310631843549,172.197901696963,2.91061589817119,3.27521240593121,2.84331692881378,3.76567149448603,0,0,1,1,20.6442999128544,31.7896711221597
"3500",3500,"Consensus1+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",45.5457318658309,38.5593429379836,55.8419596561873,39.4112935140048,5,6,6,8,19.3745223458346,131.321203504855,3.27018729739893,2.96837537589331,7.00637899142878,3.1211825710347,1,1,0,1,34.3990430008532,21.0017770479407
"3571",3571,"Consensus1+NumVerifiedTweets_Week1_allold_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta+NumVerifiedTweets_Week2_posting_AbsoluteDelta",47.943315302816,39.6359708094149,62.1331723254305,39.8481214067159,4,6,5.5,7,-27.4226406258539,171.511996296534,6.39700219095943,2.87506007734643,5.4065226364819,3.00635457843594,1,1,1,0,35.8748780724061,75.2304956485908
"3615",3615,"Consensus1+NumTweets_Month1_opening_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumTweets_Month1_posting_Absolute+NumVerifiedTweets_Month1_posting_Absolute",48.7735038271108,46.3923500143022,57.9129701718437,46.5209220313801,5,5,5.5,7,-18.8912294133478,84.0176907010401,3.58282455268682,4.98632581600327,1.90009940181324,6.04540148759353,1,0,1,0,38.739408558254,48.0553315908902
"3622",3622,"Consensus1+NumTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta",47.6747113544914,42.2437795255067,58.2160048577454,42.6428727988484,5,5,6,7,3.00465426359804,150.78334083574,3.62119578762311,8.01476470156449,2.95779288099264,7.85437201911524,1,1,0,1,11.6058459062299,39.513437944947
"3674",3674,"Consensus1+NumTweets_Week1_posting_Absolute+NumVerifiedTweets_Week1_posting_Absolute",46.07628737987,41.9515719574902,57.1620753382024,42.0400057044916,5,5,6,6,3.16057254054247,95.3150578420154,3.77516755282574,4.05695235817203,3.30452576958104,3.39628673404031,0,0,1,1,15.7287825238365,55.8552495232979
