 ,business,customer service,engineering,finance,health,misc,social service
201101,1919,32990,33257,75403,68801,82295,50730
201102,75071,1683,30232,32539,70535,66219,47139
201103,140,3871,3349,8257,8523,9872,7816
201104,1606,41994,18917,17998,47594,41873,53588
201105,855,26610,12853,11322,29666,26631,33583
201106,1146,13362,12094,34175,29915,37886,22524
201107,1890,41601,19933,17570,56696,47066,59738
201108,1712,43681,23980,19294,62681,51526,65580
201109,1601,24047,20690,64711,50287,66104,39029
201110,1322,28252,18769,18060,46655,38110,48871
201111,1145,26371,17275,19111,48661,38356,50561
201112,2779,65249,41529,48285,126416,89829,124681
201012,506,9,144,152,422,635,489
201401,7544,77304,72218,60884,130571,116693,212490
201402,7045,71696,67917,55023,111612,109855,208622
201403,8185,90271,84122,69626,141731,143105,253943
201404,10455,111870,95836,77679,162032,161133,298766
201405,10431,117272,98395,78107,167374,159911,318953
201406,9555,130608,117002,86858,204945,190913,385426
201407,13724,195004,153031,106412,254217,228549,497098
201408,13770,189499,167547,117622,269148,251843,523883
201409,11438,174804,175028,98545,243594,224046,448019
201410,9421,229911,214086,125077,327555,272657,605769
201411,1633,35807,30534,17034,46022,36996,74639
201301,2414,60377,47969,142470,107839,191406,76636
201302,2138,64334,49274,41687,124916,97915,149478
201303,2034,61594,47648,40488,125758,99687,145710
201304,2816,60443,51073,152987,121239,181101,76741
201305,3252,60406,52754,155923,123748,169087,67200
201306,2725,48400,43314,122906,94925,137615,51825
201307,3168,53186,44711,118435,94764,142238,56050
201308,3638,70086,53391,150172,122797,176730,67608
201309,6066,72328,52800,146475,120332,180264,63496
201310,8423,76432,69964,57386,146833,126393,196072
201311,7192,88336,68776,60995,143118,119221,194552
201312,6583,86095,66792,60120,133558,112986,196606
201201,3585,79388,60712,51357,153579,118966,152241
201202,3270,64937,47061,45411,146986,109832,141870
201203,2588,44839,43475,136724,97453,135312,60095
201204,2454,57011,42817,39927,131466,91829,148264
201205,3030,67481,51452,46830,142616,101106,158632
201206,2336,51768,42770,133205,91364,61796,135570
201207,2438,47862,54007,149090,96212,140029,65946
201208,2594,89645,59401,69716,175411,116767,188365
201209,2741,94976,62971,94604,173355,122980,194652
201210,3032,67828,86068,184616,130378,206721,102475
201211,2660,66246,80568,165570,120914,185117,94255
201212,1902,71702,49720,45241,123599,90053,143744
