 ,administration,business,engineering,finance,health,social services,truck driver
201101,36562,17584,41949,34255,1299,59524,1265
201102,34223,17351,39053,31929,1168,54478,1240
201103,4440,2237,4631,4563,140,7001,251
201104,22883,11077,26300,26390,990,33936,1018
201105,14332,6911,16688,16300,671,21792,569
201106,15303,8098,19179,13247,869,24251,542
201107,25376,11583,32108,25604,1471,37964,1011
201108,29018,12544,34512,26497,1286,41671,1096
201109,27789,12459,34944,23604,1238,40979,1028
201110,20602,9178,25241,17424,829,30591,752
201111,20176,9573,26482,16063,872,30411,625
201112,52112,24509,70845,40073,2070,70980,1543
201012,226,112,306,406,9,642,5
201401,74464,29489,68782,38002,1825,91637,4612
201402,69495,26818,57959,30538,1921,89598,7776
201403,81936,35224,73160,41955,2482,118142,10985
201404,91992,39931,83532,52275,3304,134455,12038
201405,96501,40079,87030,56627,3056,131946,13022
201406,114480,46981,104145,67607,3360,156206,18293
201407,144230,59077,129628,99847,6104,188346,26605
201408,157691,65096,136331,97570,4639,202631,26561
201409,161544,52531,126040,85221,3569,180092,20492
201410,194070,66820,170735,107689,3770,218213,32581
201411,27324,9097,24054,16322,646,29342,5025
201301,63505,28661,77273,48105,1652,84727,2638
201302,58700,25276,67071,40099,1530,75620,2671
201303,57192,25356,67976,38043,1485,76570,3238
201304,70406,30945,82472,47500,2027,93197,3554
201305,70027,31260,85449,42173,1633,96645,3698
201306,56691,25106,65475,32265,1301,71445,3444
201307,57205,25901,62216,35126,1338,71448,3353
201308,74877,31472,79124,43331,1584,91507,3372
201309,74282,30622,77786,38793,1319,91398,3773
201310,74120,29927,79404,44940,1514,95348,4273
201311,72857,29188,77126,47389,1702,89807,4184
201312,71518,29345,71479,45436,1527,86856,4981
201201,72477,32147,85904,47461,2663,92280,2003
201202,58886,28192,81127,38069,2496,84087,2176
201203,54346,26036,76878,34097,1911,74399,2639
201204,51268,24167,72422,32744,1824,71694,2168
201205,59955,27614,79420,37897,2267,77589,3543
201206,60346,25691,73183,37638,1725,71865,2597
201207,58947,37492,77664,41222,1658,76914,3324
201208,75202,48791,98243,52366,1839,93399,3764
201209,82704,75218,97053,53583,1878,98122,3778
201210,83931,68487,99578,61386,2120,104506,4219
201211,80210,64025,90846,58032,1776,94144,2935
201212,57643,29937,67059,47167,1327,71587,2381
