#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	20101231	-171.511497377498	-0.0278111719438136	6167	36429.5341643552	1528	163	4476	0	6145	1380	19	0
all	20110101	78.1018012425279	0.00342071659261247	22832	136032.621187018	5988	662	16182	0	22680	3718	138	3
all	20110102	-468.247560617598	-0.0213909347015805	21890	130793.611347218	5375	601	15914	0	21716	3781	148	2
all	20110103	-684.014487999876	-0.0255668119907257	26754	157713.994325218	6555	786	19413	0	26441	5479	248	16
all	20110104	-569.922902899139	-0.0180189984792165	31629	183966.087154099	7995	855	22779	0	31276	6211	282	9
all	20110105	-1473.94026436524	-0.0460390524555752	32015	183718.604359241	7538	1075	23402	0	31665	6098	248	18
all	20110106	-1118.78189742357	-0.0355304210309824	31488	183148.595550781	7531	1031	22926	0	31119	6030	249	15
all	20110107	-671.999647665569	-0.0208339683046216	32255	189483.483228971	8084	1125	23046	0	31823	6265	291	17
all	20110108	-279.889076372253	-0.0104898087239432	26682	158518.954338895	6739	900	19043	0	26525	4383	140	9
all	20110109	-1.90651761775257	-6.74754067511084E-05	28255	136227.117305687	5784	819	21652	0	28083	4556	159	3
all	20110110	-1113.00064220406	-0.0310157626363121	35885	191176.928715551	8031	1061	26793	0	35401	6608	330	42
all	20110111	-864.129362377826	-0.0254710063779351	33926	192407.600440831	8321	998	24607	0	33533	6503	305	15
all	20110112	-1182.98096867237	-0.0355634009341142	33264	191492.132136711	8014	1212	24038	0	32825	6469	308	14
all	20110113	-843.551344999453	-0.0242191026413854	34830	201822.0875029	8659	1180	24991	0	34441	6357	311	19
all	20110114	-1399.89053027639	-0.0336641624248843	41584	207459.990224112	8779	1332	31473	0	41195	6832	269	31
all	20110115	-603.657137964957	-0.021899406419915	27565	152400.016399062	6400	850	20315	0	27402	4393	143	1
all	20110116	389.91181960121	0.0195053436518865	19990	111895.148609836	5205	702	14083	0	19863	3910	117	3
all	20110117	-560.686104577914	-0.0250933630763477	22344	122174.745658843	5300	713	16331	0	22051	4998	223	4
all	20110118	-1453.4908908178	-0.043334751224406	33541	182916.019972212	7652	1241	24648	0	33179	6366	267	22
all	20110119	-718.646259403558	-0.0205538914141276	34964	188541.162300488	8353	1177	25434	0	34522	6813	324	24
all	20110120	-38.8235341413788	-0.00118897296240403	32653	182096.435671229	8166	1246	23241	0	32234	6189	330	33
all	20110121	-42.4211895820463	-0.00111787682043972	37948	193977.319012382	9159	1254	27535	0	37552	6206	287	21
all	20110122	-710.698866533706	-0.0230133691643581	30882	143078.695714496	6488	1044	23350	0	30634	3801	208	25
all	20110123	-1539.69049028146	-0.0398233579981238	38663	157704.752187036	7065	1022	30576	0	38486	4639	147	36
all	20110124	-1039.62451802655	-0.0245003774898441	42433	209838.653705926	9423	1415	31595	0	42004	7096	331	57
all	20110125	-1472.52376540391	-0.0452582912897685	32536	171146.027716586	7229	1101	24206	0	32159	6161	253	46
all	20110126	-1317.55195874525	-0.0474947535685538	27741	154717.409060861	6328	981	20432	0	27356	5632	260	52
all	20110127	-674.180193369752	-0.0225508493902111	29896	179112.403331875	7396	995	21505	0	29508	5851	296	50
all	20110128	-494.025129531296	-0.0180347216271053	27393	164076.661338107	6873	898	19622	0	27073	5264	239	25
all	20110129	-1530.13026169022	-0.0558625191373159	27391	157253.241938638	6058	963	20370	0	27224	4069	134	45
all	20110130	-388.043429598411	-0.016383509799384	23685	130657.420902159	5523	923	17239	0	23476	3698	152	10
all	20110131	-1617.41492361441	-0.0401194325589585	40315	239905.461210679	9576	1477	29262	0	39962	7064	256	35
all	20110201	-620.918487859094	-0.0150766921100207	41184	243015.697851319	10302	1438	29444	0	40754	7123	322	147
all	20110202	100.554165213502	0.00282249383072762	35626	208974.47125307	9203	1204	25219	0	35244	6537	311	19
all	20110203	23.153776010023	0.000581271207542064	39833	232815.385672981	10365	1402	28066	0	39381	6690	329	70
all	20110204	-871.314013027533	-0.0246579695785469	35336	210583.331860133	8647	1445	25244	0	34887	6477	322	86
