#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	201012	-171.5114974	-0.027811172	6167	1528	163	4476	0	6145	1380	19	0
all	201101	-24405.85024	-0.025337537	963229	225587	31639	706003	0	953408	47675	7393	702
all	201102	-4419.130079	-0.005224966	845772	215001	30650	600121	0	835334	44409	6740	1944
all	201103	-3276.597542	-0.030233329	108377	26360	4800	77217	0	105056	14388	1426	934
all	201104	-24545.62312	-0.041036654	598139	144402	24876	428861	0	590389	37498	4289	1800
all	201105	-15180.82323	-0.040821943	371879	89466	12764	269649	0	368122	27929	2411	617
all	201106	-3666.392939	-0.009036913	405713	102706	13671	289336	0	397146	33736	4711	1174
all	201107	16985.34382	0.023356702	727215	199908	24324	502983	0	708246	52111	9991	1256
all	201108	-5586.78628	-0.007107626	786027	203562	26776	555689	0	770415	57350	8674	2199
all	201109	-36051.14235	-0.047717877	755506	178804	27770	548932	0	740152	55263	8097	4088
all	201110	-23755.64641	-0.04413874	538204	128193	20132	389879	0	523993	44937	6132	5102
all	201111	-24835.20972	-0.046701248	531789	125061	15507	391221	0	522204	41422	5222	1364
all	201112	22574.16022	0.016972951	1330008	379100	57544	893364	0	1313818	70055	11376	562
all	201201	13472.55138	0.007013451	1920959	552695	98531	1269733	0	1729237	110429	28063	3675
all	201202	84456.4898	0.049883578	1693072	478486	74242	1140344	0	1465339	97740	35144	3894
all	201203	101332.1477	0.045219862	2240877	503645	108849	1628383	0	1545250	108216	31089	5261
all	201204	113020.9502	0.057361257	1970336	530640	273781	1165915	0	1334467	123063	32062	3100
all	201205	123033.294	0.025966202	4738209	927443	503575	3307191	0	1464823	120252	40352	5499
all	201206	117827.2346	0.053997249	2182097	961322	75945	1144830	0	1313849	118462	32069	4022
all	201207	134939.8547	0.055100387	2448982	1127607	134967	1186408	0	1412278	142817	36240	3846
all	201208	159467.5967	0.043430443	3671793	1545356	118003	2008434	0	1736502	166353	55540	4987
