#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	201012	-283.222643953595	-0.0246602215022721	11485	67928.2284146036	2865	296	8324	0	11258	1822	43	0
all	201101	-33912.3545095653	-0.0182535580176674	1857849	9831137.70773165	426689	57537	1373623	0	1809931	78936	14769	3462
all	201102	19351.8129049679	0.0107823178223474	1794773	10565320.5052419	465464	63107	1266202	0	1731932	80101	15213	8861
all	201103	-5179.33865621294	-0.0194165978984395	266748	1523829.97206086	65693	12141	188914	0	250937	24993	3728	4435
all	201104	-46784.7963700933	-0.0319017192091621	1466529	8472156.89885391	356792	59902	1049835	0	1410787	70031	11298	8225
all	201105	-19923.0600530763	-0.0252261841672729	789777	4561299.88701867	194560	26322	568895	0	757346	47328	4990	2387
all	201106	10546.7065311126	0.0129724989773896	813005	4653050.7339963	211869	25971	575165	0	737692	55373	9506	5094
all	201107	58426.2240541472	0.0405452723878408	1441012	NaN	402557	46693	991762	0	1325085	86008	19504	6559
all	201108	9050.9541072273	0.00550211648499071	1644995	9345374.62857814	431757	55269	1157969	0	1549489	98558	18503	9919
all	201109	-45762.9758146787	-0.0281462598935596	1625899	9315037.28229442	396189	59872	1169838	0	1522798	94920	17962	18726
all	201110	-33109.3087965058	-0.0297770753971161	1111906	6492971.59931725	269386	42233	800287	0	1038126	76884	13500	20125
all	201111	-34215.4873372454	-0.0312808151064075	1093817	6196508.30522988	263173	31831	798813	0	1035402	69470	11467	6947
all	201112	59299.9035124641	0.0227335176984228	2608479	14257060.8955563	747791	109447	1751241	0	2504209	116090	22760	3023
all	201201	-41280.3822466877	-0.0100619683413354	4102615	20324977.0512903	1149646	207078	2745891	0	3572701	189913	62465	18122
all	201202	216559.980951994	0.0581030752702639	3727169	19881332.5787633	1051969	164875	2510325	0	3015041	172877	82160	22838
all	201203	335249.55298885	0.0552979102374506	6062608	28189286.0454013	1258830	235988	4567790	0	3653481	197405	79991	26593
all	201204	390595.232852962	0.0831220284688892	4699058	23238090.035621	1346246	562501	2790311	0	3032968	217860	81065	21756
all	201205	427361.705693527	0.0407639767624061	10483808	44689988.9367915	2324007	1052627	7107174	0	3180485	211598	96416	29359
all	201206	375267.014069017	0.0800641025842981	4687082	22722887.7401947	2008555	159734	2518793	0	2677368	209569	74640	20442
