candidate	AggregationKey	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	201012	3320	625	113	2582	3276	553	11	0
all	201101	457691	105393	11752	340546	446906	10136	4265	1613
all	201102	488197	110105	13076	365016	473312	10944	4500	4265
all	201103	70369	16651	1894	51824	66274	4712	1063	2065
all	201104	369241	84188	9488	275565	358465	9947	3386	3305
all	201105	195502	45912	4686	144904	189920	7646	1379	1143
all	201106	201529	47420	5630	148479	190248	8869	2869	2674
all	201107	347524	84491	9600	253433	329010	11696	4458	3095
all	201108	424283	99259	11642	313382	405915	13566	5342	4223
all	201109	436044	98065	13164	324815	411112	13288	5728	10238
all	201110	300770	69471	10135	221164	282423	11440	4396	8222
all	201111	282804	63745	7937	211122	272508	10896	2319	3575
all	201112	684059	197157	34188	452714	669876	14877	2990	2076
all	201201	947790	293389	45592	608809	901706	21528	10293	10569
all	201202	871964	268745	37719	565500	809217	22455	15867	11559
all	201203	958451	312304	40827	605320	869550	23076	15083	15086
all	201204	935010	315342	40239	579429	822734	23441	16886	12907
all	201205	1092353	348523	56714	687116	948213	24874	20254	19914
all	201206	852878	278920	36699	537259	756458	22817	14369	12216
all	201207	930626	308043	42401	580182	828840	24767	15408	13270
all	201208	1146127	368772	48081	729274	1055322	27665	25523	21937
all	201209	1152870	377191	46991	728688	1009134	27348	28428	23485
all	201210	1306576	414444	51570	840562	1138452	29904	32356	25087
all	201211	1169803	376531	68383	724889	984871	28089	28378	20988
all	201212	999364	339807	45144	614413	902245	24534	18873	13878
all	201301	1158898	409178	49374	700346	1050797	33655	19539	18733
all	201302	1088916	395290	46549	647077	974387	33430	27593	26636
all	201303	1070749	381889	45358	643502	958842	33867	32957	20503
all	201304	1232708	435760	52142	744806	1106572	37359	33578	25151
all	201305	1346452	483213	61026	802213	1187036	39547	36082	51338
all	201306	1091568	383315	54806	653447	973374	37093	34053	55439
all	201307	1122785	384402	58901	679482	1001815	41440	47307	49683
all	201308	1271484	422483	66166	782835	1087830	42335	84252	56515
all	201309	1380277	457166	67418	855693	1165093	40488	95846	56552
all	201310	1460478	495791	73223	891464	1249161	33255	88818	56986
all	201311	1387716	472572	67498	847646	1224938	31399	66327	48063
all	201312	1389620	476191	66940	846489	1234761	28377	64167	43908
all	201401	1632543	561056	85718	985769	1400052	38370	90060	69284
all	201402	1574749	559117	88704	926928	1363440	36829	88711	67560
all	201403	1998567	694213	122879	1181475	1709460	38870	102066	67853
all	201404	2035986	722279	112758	1200949	1751126	39403	100064	56987
all	201405	2147019	776535	113088	1257396	1841224	39099	114576	64467
all	201406	2454320	879111	123169	1452040	2118068	50780	126705	71485
all	201407	2847372	1037756	140925	1668691	2467345	41139	136992	79470
all	201408	3813810	1351109	151288	2311413	3466052	41139	133368	73206
all	201409	3559707	1291585	136113	2132009	3244299	33940	114179	67345
all old	201012	229	75	3	151	214	109	0	0
all old	201101	31645	11013	247	20385	26846	4591	1123	681
all old	201102	33738	10759	371	22608	27797	4995	1195	701
all old	201103	5229	1769	171	3289	3711	1228	278	571
all old	201104	23019	7408	211	15400	18928	4107	855	769
all old	201105	12457	4484	83	7890	10464	2659	324	257
all old	201106	14755	4443	145	10167	11455	3165	564	602
all old	201107	27911	7799	223	19889	23004	4858	846	1073
all old	201108	37637	10017	903	26717	32482	5806	1099	1539
all old	201109	32525	9405	464	22656	26677	5027	956	2444
all old	201110	20589	6216	275	14098	16463	3998	802	1738
all old	201111	19109	4860	242	14007	16544	3763	419	916
all old	201112	42429	12998	639	28792	38997	6096	394	745
all old	201201	71514	24181	1174	46159	57647	10054	2005	3959
all old	201202	77470	28886	1126	47458	56581	10943	4221	3967
all old	201203	98273	50504	2202	45567	78343	11002	3761	5141
all old	201204	107795	59517	1420	46858	85802	11071	4335	5265
all old	201205	132812	74636	1815	56361	99711	11735	5184	8961
all old	201206	105720	58341	1767	45612	86346	10189	3785	4929
all old	201207	113433	58774	3904	50755	88366	11668	4228	5745
all old	201208	90839	33755	1819	55265	62016	13149	5914	9272
all old	201209	145817	70387	1693	73737	109772	12694	6684	11903
