"MonthId","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags"
201102,30506,4712,1324,24470,26406,808,235,2652,2093,-254,124,2223,951,404,72,20,2477,163,89,2225,1366,166,52,97,-782,56,9,-847,-686,0,-51,-3,-593,-843,8,242,-524,23,1,-45,974,363,15,596,823,231,67,-29,28410,4645,1186,22579,25844,487,222,2604
201103,-417828,-93454,-11182,-313192,-407038,-6232,-3437,-2200,-28509,-8990,-200,-19319,-24086,-3767,-917,-130,-9581,-1756,-190,-7635,-7575,-1153,-334,-54,-9083,-1176,36,-7943,-8677,-744,-137,39,-5845,-4703,-8,-1134,-5095,-1027,-124,6,-4036,-1376,-38,-2622,-2910,-1357,-326,-121,-396634,-88330,-11030,-297274,-391207,-3438,-2841,-2146
201104,298872,67537,7594,223741,292191,5235,2323,1240,17790,5639,40,12111,15217,2879,577,198,5063,1089,47,3927,4163,872,259,141,6764,894,-67,5937,6501,587,54,-48,3433,2711,12,710,2882,767,69,66,2578,976,51,1551,1800,1031,199,39,285235,64128,7580,213527,281734,3128,1988,1098
201105,-173739,-38276,-4802,-130661,-168545,-2301,-2007,-2162,-10562,-2924,-128,-7510,-8464,-1448,-531,-512,-3422,-672,-29,-2721,-2679,-454,-258,-228,-4002,-478,-23,-3501,-3784,-304,-47,-42,-1445,-1066,-37,-342,-1073,-394,-75,-90,-1671,-678,-42,-951,-1018,-536,-155,-152,-165995,-36834,-4680,-124481,-162538,-1257,-1727,-1703
201106,6027,1508,944,3575,328,1223,1490,1531,2298,-41,62,2277,991,506,240,345,597,-105,27,675,235,153,9,26,1072,91,15,966,1002,133,31,63,-168,-315,-3,150,-367,112,80,103,759,236,23,500,133,170,125,153,4002,1441,889,1672,-955,938,1284,1255
201107,145995,37071,3970,104954,138762,2827,1589,421,13156,3356,78,9722,11549,1693,282,471,3540,566,48,2926,3303,468,52,31,5635,454,14,5167,5394,403,50,24,2203,1895,26,282,1909,484,57,50,1796,454,-9,1351,1026,595,124,370,135629,34477,3876,97276,131074,1688,1352,-18
201108,76759,14768,2042,59949,76905,1870,884,1128,9726,2218,680,6828,9478,948,253,466,6926,702,467,5757,6979,253,97,320,1341,186,11,1144,1106,89,23,157,1134,917,14,203,1056,283,33,-31,411,424,187,-200,447,382,112,80,74010,13454,1728,58828,74766,1252,689,726
201109,11761,-1194,1522,11433,5197,-278,386,6015,-5112,-612,-439,-4061,-5805,-779,-143,905,-4677,-501,-355,-3821,-4458,-289,-57,-95,-1032,-234,30,-828,-1040,-218,-29,49,-61,-32,70,-99,-7,-104,-48,100,569,146,-184,607,-403,-254,-22,787,12901,-1086,1753,12234,6509,229,511,5189
201110,-135274,-28594,-3029,-103651,-128689,-1848,-1332,-2016,-11936,-3189,-189,-8558,-10214,-1029,-154,-706,-3584,-400,-108,-3076,-3375,-209,-19,-48,-4212,-297,-11,-3904,-3867,-233,-23,-138,-2564,-2266,-65,-233,-2446,-324,-1,-96,-1587,-233,-5,-1349,-576,-405,-108,-424,-127150,-26710,-2910,-97530,-123105,-1138,-1218,-1426
201111,-17966,-5726,-2198,-10042,-9915,-544,-2077,-4647,-1480,-1356,-33,-91,81,-235,-383,-822,467,-128,22,573,264,-17,-80,291,65,2,-42,105,259,-33,-35,-113,-542,-398,-18,-126,-255,-66,-68,-100,-1482,-839,5,-648,-176,-169,-207,-900,-16289,-4527,-2175,-9587,-9695,-278,-1769,-3912
201112,401255,133412,26251,241592,397368,3981,671,-1499,23320,8138,397,14785,22453,2333,-25,-171,6004,1829,232,3943,6072,672,-15,-283,11572,1580,75,9917,11266,459,7,46,4492,3933,57,502,3809,860,7,189,1300,841,34,425,1430,715,-25,-123,382109,126805,26055,229249,381137,2320,690,-1236
201201,263731,96232,11404,156095,231830,6651,7303,8493,29085,11183,535,17367,18650,3958,1611,3214,6933,1528,51,5354,5992,885,277,184,5698,742,39,4917,5086,515,177,67,6265,5319,29,917,4349,1232,391,548,10294,3649,416,6229,3379,1881,780,2430,241101,86955,10944,143202,220948,3925,5984,5546
