"MonthId","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags","NumTweets_all_Delta","NumPositive_all_Delta","NumNegative_all_Delta","NumNeutral_all_Delta","NumDistinctTweets_all_Delta","NumDistinctUsers_all_Delta","NumPopularTweets_all_Delta","NumVerifiedTweets_all_Delta","NumTweets_allold_Delta","NumPositive_allold_Delta","NumNegative_allold_Delta","NumNeutral_allold_Delta","NumDistinctTweets_allold_Delta","NumDistinctUsers_allold_Delta","NumPopularTweets_allold_Delta","NumVerifiedTweets_allold_Delta","NumTweets_opening_Delta","NumPositive_opening_Delta","NumNegative_opening_Delta","NumNeutral_opening_Delta","NumDistinctTweets_opening_Delta","NumDistinctUsers_opening_Delta","NumPopularTweets_opening_Delta","NumVerifiedTweets_opening_Delta","NumTweets_posting_Delta","NumPositive_posting_Delta","NumNegative_posting_Delta","NumNeutral_posting_Delta","NumDistinctTweets_posting_Delta","NumDistinctUsers_posting_Delta","NumPopularTweets_posting_Delta","NumVerifiedTweets_posting_Delta","NumTweets_opportunity_Delta","NumPositive_opportunity_Delta","NumNegative_opportunity_Delta","NumNeutral_opportunity_Delta","NumDistinctTweets_opportunity_Delta","NumDistinctUsers_opportunity_Delta","NumPopularTweets_opportunity_Delta","NumVerifiedTweets_opportunity_Delta","NumTweets_hiring_Delta","NumPositive_hiring_Delta","NumNegative_hiring_Delta","NumNeutral_hiring_Delta","NumDistinctTweets_hiring_Delta","NumDistinctUsers_hiring_Delta","NumPopularTweets_hiring_Delta","NumVerifiedTweets_hiring_Delta","NumTweets_hashtags_Delta","NumPositive_hashtags_Delta","NumNegative_hashtags_Delta","NumNeutral_hashtags_Delta","NumDistinctTweets_hashtags_Delta","NumDistinctUsers_hashtags_Delta","NumPopularTweets_hashtags_Delta","NumVerifiedTweets_hashtags_Delta"
201101,457691,105393,11752,340546,446906,10136,4265,1613,31645,11013,247,20385,26846,4591,1123,681,8846,1874,120,6852,7379,1289,387,129,11421,1287,64,10070,10685,1049,215,63,7432,6360,40,1032,6401,1335,167,90,4013,1527,26,2460,2558,1471,362,399,434527,99154,11574,323799,429142,6740,3499,1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201102,488197,110105,13076,365016,473312,10944,4500,4265,33738,10759,371,22608,27797,4995,1195,701,11323,2037,209,9077,8745,1455,439,226,10639,1343,73,9223,9999,1049,164,60,6839,5517,48,1274,5877,1358,168,45,4987,1890,41,3056,3381,1702,429,370,462937,103799,12760,346378,454986,7227,3721,3680,30506,4712,1324,24470,26406,808,235,2652,2093,-254,124,2223,951,404,72,20,2477,163,89,2225,1366,166,52,97,-782,56,9,-847,-686,0,-51,-3,-593,-843,8,242,-524,23,1,-45,974,363,15,596,823,231,67,-29,28410,4645,1186,22579,25844,487,222,2604
201103,70369,16651,1894,51824,66274,4712,1063,2065,5229,1769,171,3289,3711,1228,278,571,1742,281,19,1442,1170,302,105,172,1556,167,109,1280,1322,305,27,99,994,814,40,140,782,331,44,51,951,514,3,434,471,345,103,249,66303,15469,1730,49104,63779,3789,880,1534,-417828,-93454,-11182,-313192,-407038,-6232,-3437,-2200,-28509,-8990,-200,-19319,-24086,-3767,-917,-130,-9581,-1756,-190,-7635,-7575,-1153,-334,-54,-9083,-1176,36,-7943,-8677,-744,-137,39,-5845,-4703,-8,-1134,-5095,-1027,-124,6,-4036,-1376,-38,-2622,-2910,-1357,-326,-121,-396634,-88330,-11030,-297274,-391207,-3438,-2841,-2146
201104,369241,84188,9488,275565,358465,9947,3386,3305,23019,7408,211,15400,18928,4107,855,769,6805,1370,66,5369,5333,1174,364,313,8320,1061,42,7217,7823,892,81,51,4427,3525,52,850,3664,1098,113,117,3529,1490,54,1985,2271,1376,302,288,351538,79597,9310,262631,345513,6917,2868,2632,298872,67537,7594,223741,292191,5235,2323,1240,17790,5639,40,12111,15217,2879,577,198,5063,1089,47,3927,4163,872,259,141,6764,894,-67,5937,6501,587,54,-48,3433,2711,12,710,2882,767,69,66,2578,976,51,1551,1800,1031,199,39,285235,64128,7580,213527,281734,3128,1988,1098
201105,195502,45912,4686,144904,189920,7646,1379,1143,12457,4484,83,7890,10464,2659,324,257,3383,698,37,2648,2654,720,106,85,4318,583,19,3716,4039,588,34,9,2982,2459,15,508,2591,704,38,27,1858,812,12,1034,1253,840,147,136,185543,42763,4630,138150,182975,5660,1141,929,-173739,-38276,-4802,-130661,-168545,-2301,-2007,-2162,-10562,-2924,-128,-7510,-8464,-1448,-531,-512,-3422,-672,-29,-2721,-2679,-454,-258,-228,-4002,-478,-23,-3501,-3784,-304,-47,-42,-1445,-1066,-37,-342,-1073,-394,-75,-90,-1671,-678,-42,-951,-1018,-536,-155,-152,-165995,-36834,-4680,-124481,-162538,-1257,-1727,-1703
201106,201529,47420,5630,148479,190248,8869,2869,2674,14755,4443,145,10167,11455,3165,564,602,3980,593,64,3323,2889,873,115,111,5390,674,34,4682,5041,721,65,72,2814,2144,12,658,2224,816,118,130,2617,1048,35,1534,1386,1010,272,289,189545,44204,5519,139822,182020,6598,2425,2184,6027,1508,944,3575,328,1223,1490,1531,2298,-41,62,2277,991,506,240,345,597,-105,27,675,235,153,9,26,1072,91,15,966,1002,133,31,63,-168,-315,-3,150,-367,112,80,103,759,236,23,500,133,170,125,153,4002,1441,889,1672,-955,938,1284,1255
201107,347524,84491,9600,253433,329010,11696,4458,3095,27911,7799,223,19889,23004,4858,846,1073,7520,1159,112,6249,6192,1341,167,142,11025,1128,48,9849,10435,1124,115,96,5017,4039,38,940,4133,1300,175,180,4413,1502,26,2885,2412,1605,396,659,325174,78681,9395,237098,313094,8286,3777,2166,145995,37071,3970,104954,138762,2827,1589,421,13156,3356,78,9722,11549,1693,282,471,3540,566,48,2926,3303,468,52,31,5635,454,14,5167,5394,403,50,24,2203,1895,26,282,1909,484,57,50,1796,454,-9,1351,1026,595,124,370,135629,34477,3876,97276,131074,1688,1352,-18
201108,424283,99259,11642,313382,405915,13566,5342,4223,37637,10017,903,26717,32482,5806,1099,1539,14446,1861,579,12006,13171,1594,264,462,12366,1314,59,10993,11541,1213,138,253,6151,4956,52,1143,5189,1583,208,149,4824,1926,213,2685,2859,1987,508,739,399184,92135,11123,295926,387860,9538,4466,2892,76759,14768,2042,59949,76905,1870,884,1128,9726,2218,680,6828,9478,948,253,466,6926,702,467,5757,6979,253,97,320,1341,186,11,1144,1106,89,23,157,1134,917,14,203,1056,283,33,-31,411,424,187,-200,447,382,112,80,74010,13454,1728,58828,74766,1252,689,726
201109,436044,98065,13164,324815,411112,13288,5728,10238,32525,9405,464,22656,26677,5027,956,2444,9769,1360,224,8185,8713,1305,207,367,11334,1080,89,10165,10501,995,109,302,6090,4924,122,1044,5182,1479,160,249,5393,2072,29,3292,2456,1733,486,1526,412085,91049,12876,308160,394369,9767,4977,8081,11761,-1194,1522,11433,5197,-278,386,6015,-5112,-612,-439,-4061,-5805,-779,-143,905,-4677,-501,-355,-3821,-4458,-289,-57,-95,-1032,-234,30,-828,-1040,-218,-29,49,-61,-32,70,-99,-7,-104,-48,100,569,146,-184,607,-403,-254,-22,787,12901,-1086,1753,12234,6509,229,511,5189
201110,300770,69471,10135,221164,282423,11440,4396,8222,20589,6216,275,14098,16463,3998,802,1738,6185,960,116,5109,5338,1096,188,319,7122,783,78,6261,6634,762,86,164,3526,2658,57,811,2736,1155,159,153,3806,1839,24,1943,1880,1328,378,1102,284935,64339,9966,210630,271264,8629,3759,6655,-135274,-28594,-3029,-103651,-128689,-1848,-1332,-2016,-11936,-3189,-189,-8558,-10214,-1029,-154,-706,-3584,-400,-108,-3076,-3375,-209,-19,-48,-4212,-297,-11,-3904,-3867,-233,-23,-138,-2564,-2266,-65,-233,-2446,-324,-1,-96,-1587,-233,-5,-1349,-576,-405,-108,-424,-127150,-26710,-2910,-97530,-123105,-1138,-1218,-1426
