candidate	AggregationKey	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	201101	1613	298	44	1271	351	60	206	1613
all	201102	4265	776	573	2916	1139	95	321	4265
all	201103	2065	486	312	1267	159	51	179	2065
all	201104	3305	1086	341	1878	393	100	373	3305
all	201105	1143	254	108	781	203	78	137	1143
all	201106	2674	801	499	1374	300	114	289	2674
all	201107	3095	633	594	1868	470	157	393	3095
all	201108	4223	1123	682	2418	602	206	502	4223
all	201109	10238	2610	1192	6436	784	239	836	10238
all	201110	8222	2536	1515	4171	628	221	729	8222
all	201111	3575	879	402	2294	415	161	274	3575
all	201112	2076	801	137	1138	713	201	74	2076
all	201201	10569	3376	581	6612	1345	343	776	10569
all	201202	11559	4025	923	6611	1647	374	1637	11559
all	201203	15086	4296	1866	8924	2038	394	1549	15086
all	201204	12907	4662	839	7406	2024	385	1851	12907
all	201205	19914	7682	1585	10647	2320	432	2134	19914
all	201206	12216	3850	1562	6804	2083	419	1470	12216
all	201207	13270	5808	1770	5692	2216	431	1519	13270
all	201208	21937	6763	1320	13854	2853	509	2544	21937
all	201209	23485	7455	1847	14183	3133	555	2806	23485
all	201210	25087	8839	1703	14545	3324	650	3201	25087
all	201211	20988	6761	1452	12775	2786	569	2508	20988
all	201212	13878	6449	735	6694	2273	513	1807	13878
all	201301	18733	7493	1255	9985	2692	697	2364	18733
all	201302	26636	13441	1799	11396	2838	752	3041	26636
all	201303	20503	8235	1400	10868	3503	713	2833	20503
all	201304	25151	8947	2175	14029	4408	783	3089	25151
all	201305	51338	24191	2255	24892	17507	865	3381	51338
all	201306	55439	27358	2636	25445	17653	904	3905	55439
all	201307	49683	21366	4002	24315	12298	957	3898	49683
all	201308	56515	20925	3777	31813	9324	1043	6409	56515
all	201309	56552	20799	2804	32949	9134	971	6223	56552
all	201310	56986	22344	3692	30950	9242	827	5992	56986
all	201311	48063	21703	2397	23963	8456	806	5311	48063
all	201312	43908	17294	2909	23705	7692	724	5845	43908
all	201401	69284	29399	4590	35295	8619	986	7692	69284
all	201402	67560	31997	4364	31199	8597	981	7481	67560
all	201403	67853	27459	4479	35915	10116	1011	9529	67853
all	201404	56987	22235	4162	30590	6390	1006	7177	56987
all	201405	64467	28334	4410	31723	7476	1067	8557	64467
all	201406	71485	29369	5234	36882	7945	1364	8545	71485
all	201407	79470	36566	4246	38658	8234	1146	9240	79470
all	201408	73206	27750	3293	42163	8493	1102	8831	73206
all	201409	67345	31920	4040	31385	7654	1079	8192	67345
all old	201101	681	146	12	523	41	30	68	681
all old	201102	701	244	15	442	92	41	87	701
all old	201103	571	264	132	175	15	15	29	571
all old	201104	769	438	39	292	66	42	65	769
all old	201105	257	134	0	123	34	28	31	257
all old	201106	602	163	29	410	73	46	55	602
all old	201107	1073	237	0	836	111	64	109	1073
all old	201108	1539	386	318	835	147	89	154	1539
all old	201109	2444	322	90	2032	132	82	162	2444
all old	201110	1738	901	39	798	133	83	171	1738
all old	201111	916	180	30	706	95	56	56	916
all old	201112	745	347	21	377	195	86	6	745
all old	201201	3959	1490	107	2362	361	181	180	3959
all old	201202	3967	1961	81	1925	364	164	535	3967
all old	201203	5141	1654	1028	2459	389	181	469	5141
all old	201204	5265	1920	103	3242	384	194	588	5265
all old	201205	8961	4091	36	4834	428	219	637	8961
all old	201206	4929	1601	627	2701	421	188	450	4929
all old	201207	5745	2804	838	2103	507	205	508	5745
all old	201208	9272	3869	204	5199	733	256	862	9272
all old	201209	11903	3737	353	7813	687	279	1056	11903
all old	201210	13076	4717	107	8252	905	326	1348	13076
all old	201211	6994	3231	196	3567	701	281	1037	6994
all old	201212	6971	3323	317	3331	671	282	863	6971
all old	201301	10204	4662	487	5055	844	417	1244	10204
all old	201302	17211	9901	368	6942	889	395	1657	17211
all old	201303	9602	4767	264	4571	810	380	1348	9602
all old	201304	12685	4894	577	7214	982	421	1529	12685
all old	201305	12504	6625	277	5602	1141	460	1313	12504
all old	201306	16150	9860	454	5836	1111	484	1555	16150
all old	201307	14993	7874	227	6892	1155	542	1577	14993
all old	201308	24085	10325	403	13357	1175	550	2763	24085
all old	201309	26201	10863	377	14961	1140	516	2603	26201
all old	201310	28490	12948	608	14934	1160	462	2845	28490
all old	201311	23590	13518	255	9817	1133	455	2509	23590
all old	201312	19644	8866	635	10143	1028	397	2785	19644
all old	201401	36398	16279	1794	18325	1447	581	3857	36398
all old	201402	34205	19879	829	13497	1349	601	3610	34205
all old	201403	33907	15379	1700	16828	1527	634	3981	33907
all old	201404	30913	12545	2202	16166	1375	587	3556	30913
all old	201405	34588	17148	2023	15417	1635	619	4180	34588
all old	201406	38596	17844	1008	19744	1988	771	4197	38596
all old	201407	45652	25160	788	19704	1731	679	4647	45652
all old	201408	40929	17119	947	22863	1738	715	4719	40929
all old	201409	35638	21095	282	14261	1647	635	3997	35638
hashtags	201101	1076	160	32	884	316	36	158	1076
hashtags	201102	3680	572	558	2550	1064	71	258	3680
hashtags	201103	1534	246	180	1108	149	41	158	1534
hashtags	201104	2632	704	302	1626	345	71	328	2632
hashtags	201105	929	140	108	681	176	57	110	929
hashtags	201106	2184	686	490	1008	246	83	250	2184
hashtags	201107	2166	440	594	1132	377	114	300	2166
hashtags	201108	2892	861	364	1667	487	151	392	2892
hashtags	201109	8081	2435	1102	4544	686	191	722	8081
hashtags	201110	6655	1707	1476	3472	521	164	594	6655
hashtags	201111	2743	727	372	1644	343	124	226	2743
hashtags	201112	1507	598	128	781	587	149	68	1507
hashtags	201201	7053	2097	494	4462	1076	223	641	7053
hashtags	201202	8115	2399	854	4862	1396	271	1182	8115
hashtags	201203	10420	2835	846	6739	1744	274	1147	10420
hashtags	201204	8192	2979	740	4473	1749	268	1366	8192
hashtags	201205	11517	3816	1549	6152	1979	302	1604	11517
hashtags	201206	7761	2508	935	4318	1755	301	1095	7761
hashtags	201207	8458	3584	939	3935	1839	310	1134	8458
hashtags	201208	13987	3821	1116	9050	2280	348	1845	13987
hashtags	201209	14806	4178	1502	9126	2546	374	1904	14806
hashtags	201210	13469	5054	1640	6775	2572	437	2145	13469
hashtags	201211	15219	4114	1293	9812	2223	393	1659	15219
hashtags	201212	8254	4012	432	3810	1807	330	1111	8254
hashtags	201301	9969	3720	796	5453	2036	429	1313	9969
hashtags	201302	11339	4831	1508	5000	2170	477	1680	11339
hashtags	201303	12199	4309	1157	6733	2885	454	1693	12199
hashtags	201304	14867	5621	1614	7632	3764	505	1890	14867
hashtags	201305	40932	18712	2014	20206	16714	556	2365	40932
hashtags	201306	40966	18622	2189	20155	16843	575	2561	40966
hashtags	201307	36824	15011	3783	18030	11421	580	2613	36824
hashtags	201308	36158	13081	3390	19687	8475	659	4156	36158
hashtags	201309	32959	11492	2459	19008	8235	600	4041	32959
hashtags	201310	31801	10971	3107	17723	8401	477	3664	31801
hashtags	201311	27520	10055	2154	15311	7686	463	3231	27520
hashtags	201312	26450	9769	2282	14399	6941	422	3548	26450
hashtags	201401	36916	15795	2808	18313	7523	554	4467	36916
