MonthId,DeltaNFP,NumTweets_all,NumPositive_all,NumNegative_all,NumNeutral_all,NumDistinctTweets_all,NumDistinctUsers_all,NumPopularTweets_all,NumVerifiedTweets_all,NumTweets_allold,NumPositive_allold,NumNegative_allold,NumNeutral_allold,NumDistinctTweets_allold,NumDistinctUsers_allold,NumPopularTweets_allold,NumVerifiedTweets_allold,NumTweets_opening,NumPositive_opening,NumNegative_opening,NumNeutral_opening,NumDistinctTweets_opening,NumDistinctUsers_opening,NumPopularTweets_opening,NumVerifiedTweets_opening,NumTweets_posting,NumPositive_posting,NumNegative_posting,NumNeutral_posting,NumDistinctTweets_posting,NumDistinctUsers_posting,NumPopularTweets_posting,NumVerifiedTweets_posting,NumTweets_opportunity,NumPositive_opportunity,NumNegative_opportunity,NumNeutral_opportunity,NumDistinctTweets_opportunity,NumDistinctUsers_opportunity,NumPopularTweets_opportunity,NumVerifiedTweets_opportunity,NumTweets_hiring,NumPositive_hiring,NumNegative_hiring,NumNeutral_hiring,NumDistinctTweets_hiring,NumDistinctUsers_hiring,NumPopularTweets_hiring,NumVerifiedTweets_hiring,NumTweets_hashtags,NumPositive_hashtags,NumNegative_hashtags,NumNeutral_hashtags,NumDistinctTweets_hashtags,NumDistinctUsers_hashtags,NumPopularTweets_hashtags,NumVerifiedTweets_hashtags
201101,36,1613,298,44,1271,351,60,206,1613,681,146,12,523,41,30,68,681,129,6,3,120,12,7,20,129,63,3,3,57,3,3,3,63,90,63,6,21,9,8,13,90,399,74,0,325,17,14,32,399,1076,160,32,884,316,36,158,1076
201102,192,4265,776,573,2916,1139,95,321,4265,701,244,15,442,92,41,87,701,226,76,6,144,22,12,33,226,60,0,3,57,7,6,12,60,45,45,0,0,10,6,4,45,370,123,6,241,54,21,38,370,3680,572,558,2550,1064,71,258,3680
201103,216,2065,486,312,1267,159,51,179,2065,571,264,132,175,15,15,29,571,172,13,0,159,7,7,10,172,99,0,99,0,1,1,3,99,51,18,33,0,3,3,3,51,249,233,0,16,5,5,13,249,1534,246,180,1108,149,41,158,1534
201104,244,3305,1086,341,1878,393,100,373,3305,769,438,39,292,66,42,65,769,313,162,6,145,26,14,31,313,51,12,6,33,7,7,6,51,117,63,27,27,18,13,13,117,288,201,0,87,15,13,15,288,2632,704,302,1626,345,71,328,2632
201105,54,1143,254,108,781,203,78,137,1143,257,134,0,123,34,28,31,257,85,23,0,62,13,11,7,85,9,0,0,9,2,2,3,9,27,15,0,12,3,3,0,27,136,96,0,40,16,13,21,136,929,140,108,681,176,57,110,929
201106,18,2674,801,499,1374,300,114,289,2674,602,163,29,410,73,46,55,602,111,30,20,61,21,14,14,111,72,15,6,51,13,4,3,72,130,63,0,67,21,17,14,130,289,55,3,231,18,14,24,289,2184,686,490,1008,246,83,250,2184
201107,117,3095,633,594,1868,470,157,393,3095,1073,237,0,836,111,64,109,1073,142,43,0,99,29,13,20,142,96,15,0,81,20,13,9,96,180,111,0,69,25,18,19,180,659,68,0,591,38,26,61,659,2166,440,594,1132,377,114,300,2166
201108,0,4223,1123,682,2418,602,206,502,4223,1539,386,318,835,147,89,154,1539,462,88,132,242,49,32,49,462,253,54,6,193,26,13,22,253,149,84,0,65,27,21,21,149,739,160,180,399,49,37,70,739,2892,861,364,1667,487,151,392,2892
201109,103,10238,2610,1192,6436,784,239,836,10238,2444,322,90,2032,132,82,162,2444,367,19,0,348,35,27,28,367,302,51,21,230,33,15,21,302,249,110,69,70,21,13,19,249,1526,142,0,1384,44,32,94,1526,8081,2435,1102,4544,686,191,722,8081
201110,80,8222,2536,1515,4171,628,221,729,8222,1738,901,39,798,133,83,171,1738,319,129,0,190,37,26,50,319,164,52,24,88,29,9,15,164,153,81,12,60,21,18,18,153,1102,639,3,460,48,37,88,1102,6655,1707,1476,3472,521,164,594,6655
201111,120,3575,879,402,2294,415,161,274,3575,916,180,30,706,95,56,56,916,610,45,24,541,35,20,24,610,51,9,0,42,14,10,9,51,53,44,3,6,12,10,0,53,202,82,3,117,35,23,23,202,2743,727,372,1644,343,124,226,2743
201112,200,2076,801,137,1138,713,201,74,2076,745,347,21,377,195,86,6,745,327,97,3,227,77,32,6,327,97,27,0,70,28,15,0,97,242,175,15,52,65,31,0,242,79,48,3,28,25,21,0,79,1507,598,128,781,587,149,68,1507
201201,243,10569,3376,581,6612,1345,343,776,10569,3959,1490,107,2362,361,181,180,3959,511,175,27,309,97,43,36,511,164,39,0,125,42,18,21,164,790,619,8,163,135,78,32,790,2509,672,72,1765,92,65,96,2509,7053,2097,494,4462,1076,223,641,7053
201202,227,11559,4025,923,6611,1647,374,1637,11559,3967,1961,81,1925,364,164,535,3967,1440,193,54,1193,156,58,240,1440,270,64,3,203,38,19,48,270,777,695,12,70,71,49,77,777,1484,1013,12,459,109,61,170,1484,8115,2399,854,4862,1396,271,1182,8115
201203,120,15086,4296,1866,8924,2038,394,1549,15086,5141,1654,1028,2459,389,181,469,5141,1686,233,143,1310,160,46,162,1686,280,111,9,160,48,29,40,280,1648,578,867,203,73,53,97,1648,1547,736,9,802,117,78,174,1547,10420,2835,846,6739,1744,274,1147,10420
201204,115,12907,4662,839,7406,2024,385,1851,12907,5265,1920,103,3242,384,194,588,5265,1564,219,51,1294,136,53,204,1564,775,41,36,698,43,23,55,775,1061,717,13,331,104,65,139,1061,1932,957,3,972,118,86,202,1932,8192,2979,740,4473,1749,268,1366,8192
201205,69,19914,7682,1585,10647,2320,432,2134,19914,8961,4091,36,4834,428,219,637,8961,4781,1856,3,2922,119,62,167,4781,682,190,24,468,77,30,66,682,1186,858,0,328,103,73,167,1186,2348,1223,9,1116,148,90,241,2348,11517,3816,1549,6152,1979,302,1604,11517
201206,80,12216,3850,1562,6804,2083,419,1470,12216,4929,1601,627,2701,421,188,450,4929,2393,250,354,1789,147,57,158,2393,439,67,21,351,68,27,54,439,847,563,168,116,78,56,108,847,1265,736,84,445,141,76,135,1265,7761,2508,935,4318,1755,301,1095,7761
