"MonthId","DeltaNFP","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags"
201102,156,2652,478,529,1645,788,35,115,2652,20,98,3,-81,51,11,19,20,97,70,3,24,10,5,13,97,-3,-3,0,0,4,3,9,-3,-45,-18,-6,-21,1,-2,-9,-45,-29,49,6,-84,37,7,6,-29,2604,412,526,1666,748,35,100,2604
201103,24,-2200,-290,-261,-1649,-980,-44,-142,-2200,-130,20,117,-267,-77,-26,-58,-130,-54,-63,-6,15,-15,-5,-23,-54,39,0,96,-57,-6,-5,-9,39,6,-27,33,0,-7,-3,-1,6,-121,110,-6,-225,-49,-16,-25,-121,-2146,-326,-378,-1442,-915,-30,-100,-2146
201104,28,1240,600,29,611,234,49,194,1240,198,174,-93,117,51,27,36,198,141,149,6,-14,19,7,21,141,-48,12,-93,33,6,6,3,-48,66,45,-6,27,15,10,10,66,39,-32,0,71,10,8,2,39,1098,458,122,518,196,30,170,1098
201105,-190,-2162,-832,-233,-1097,-190,-22,-236,-2162,-512,-304,-39,-169,-32,-14,-34,-512,-228,-139,-6,-83,-13,-3,-24,-228,-42,-12,-6,-24,-5,-5,-3,-42,-90,-48,-27,-15,-15,-10,-13,-90,-152,-105,0,-47,1,0,6,-152,-1703,-564,-194,-945,-169,-14,-218,-1703
201106,-36,1531,547,391,593,97,36,152,1531,345,29,29,287,39,18,24,345,26,7,20,-1,8,3,7,26,63,15,6,42,11,2,0,63,103,48,0,55,18,14,14,103,153,-41,3,191,2,1,3,153,1255,546,382,327,70,26,140,1255
201107,99,421,-168,95,494,170,43,104,421,471,74,-29,426,38,18,54,471,31,13,-20,38,8,-1,6,31,24,0,-6,30,7,9,6,24,50,48,0,2,4,1,5,50,370,13,-3,360,20,12,37,370,-18,-246,104,124,131,31,50,-18
201108,-117,1128,490,88,550,132,49,109,1128,466,149,318,-1,36,25,45,466,320,45,132,143,20,19,29,320,157,39,6,112,6,0,13,157,-31,-27,0,-4,2,3,2,-31,80,92,180,-192,11,11,9,80,726,421,-230,535,110,37,92,726
201109,103,6015,1487,510,4018,182,33,334,6015,905,-64,-228,1197,-15,-7,8,905,-95,-69,-132,106,-14,-5,-21,-95,49,-3,15,37,7,2,-1,49,100,26,69,5,-6,-8,-2,100,787,-18,-180,985,-5,-5,24,787,5189,1574,738,2877,199,40,330,5189
201110,-23,-2016,-74,323,-2265,-156,-18,-107,-2016,-706,579,-51,-1234,1,1,9,-706,-48,110,0,-158,2,-1,22,-48,-138,1,3,-142,-4,-6,-6,-138,-96,-29,-57,-10,0,5,-1,-96,-424,497,3,-924,4,5,-6,-424,-1426,-728,374,-1072,-165,-27,-128,-1426
201111,40,-4647,-1657,-1113,-1877,-213,-60,-455,-4647,-822,-721,-9,-92,-38,-27,-115,-822,291,-84,24,351,-2,-6,-26,291,-113,-43,-24,-46,-15,1,-6,-113,-100,-37,-9,-54,-9,-8,-18,-100,-900,-557,0,-343,-13,-14,-65,-900,-3912,-980,-1104,-1828,-178,-40,-368,-3912
