"MonthId","DeltaNFP","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags","DeltaNFP_Delta","NumTweets_all_Delta","NumPositive_all_Delta","NumNegative_all_Delta","NumNeutral_all_Delta","NumDistinctTweets_all_Delta","NumDistinctUsers_all_Delta","NumPopularTweets_all_Delta","NumVerifiedTweets_all_Delta","NumTweets_allold_Delta","NumPositive_allold_Delta","NumNegative_allold_Delta","NumNeutral_allold_Delta","NumDistinctTweets_allold_Delta","NumDistinctUsers_allold_Delta","NumPopularTweets_allold_Delta","NumVerifiedTweets_allold_Delta","NumTweets_opening_Delta","NumPositive_opening_Delta","NumNegative_opening_Delta","NumNeutral_opening_Delta","NumDistinctTweets_opening_Delta","NumDistinctUsers_opening_Delta","NumPopularTweets_opening_Delta","NumVerifiedTweets_opening_Delta","NumTweets_posting_Delta","NumPositive_posting_Delta","NumNegative_posting_Delta","NumNeutral_posting_Delta","NumDistinctTweets_posting_Delta","NumDistinctUsers_posting_Delta","NumPopularTweets_posting_Delta","NumVerifiedTweets_posting_Delta","NumTweets_opportunity_Delta","NumPositive_opportunity_Delta","NumNegative_opportunity_Delta","NumNeutral_opportunity_Delta","NumDistinctTweets_opportunity_Delta","NumDistinctUsers_opportunity_Delta","NumPopularTweets_opportunity_Delta","NumVerifiedTweets_opportunity_Delta","NumTweets_hiring_Delta","NumPositive_hiring_Delta","NumNegative_hiring_Delta","NumNeutral_hiring_Delta","NumDistinctTweets_hiring_Delta","NumDistinctUsers_hiring_Delta","NumPopularTweets_hiring_Delta","NumVerifiedTweets_hiring_Delta","NumTweets_hashtags_Delta","NumPositive_hashtags_Delta","NumNegative_hashtags_Delta","NumNeutral_hashtags_Delta","NumDistinctTweets_hashtags_Delta","NumDistinctUsers_hashtags_Delta","NumPopularTweets_hashtags_Delta","NumVerifiedTweets_hashtags_Delta"
201101,36,1613,298,44,1271,351,60,206,1613,681,146,12,523,41,30,68,681,129,6,3,120,12,7,20,129,63,3,3,57,3,3,3,63,90,63,6,21,9,8,13,90,399,74,0,325,17,14,32,399,1076,160,32,884,316,36,158,1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201102,192,4265,776,573,2916,1139,95,321,4265,701,244,15,442,92,41,87,701,226,76,6,144,22,12,33,226,60,0,3,57,7,6,12,60,45,45,0,0,10,6,4,45,370,123,6,241,54,21,38,370,3680,572,558,2550,1064,71,258,3680,156,2652,478,529,1645,788,35,115,2652,20,98,3,-81,51,11,19,20,97,70,3,24,10,5,13,97,-3,-3,0,0,4,3,9,-3,-45,-18,-6,-21,1,-2,-9,-45,-29,49,6,-84,37,7,6,-29,2604,412,526,1666,748,35,100,2604
201103,216,2065,486,312,1267,159,51,179,2065,571,264,132,175,15,15,29,571,172,13,0,159,7,7,10,172,99,0,99,0,1,1,3,99,51,18,33,0,3,3,3,51,249,233,0,16,5,5,13,249,1534,246,180,1108,149,41,158,1534,24,-2200,-290,-261,-1649,-980,-44,-142,-2200,-130,20,117,-267,-77,-26,-58,-130,-54,-63,-6,15,-15,-5,-23,-54,39,0,96,-57,-6,-5,-9,39,6,-27,33,0,-7,-3,-1,6,-121,110,-6,-225,-49,-16,-25,-121,-2146,-326,-378,-1442,-915,-30,-100,-2146
201104,244,3305,1086,341,1878,393,100,373,3305,769,438,39,292,66,42,65,769,313,162,6,145,26,14,31,313,51,12,6,33,7,7,6,51,117,63,27,27,18,13,13,117,288,201,0,87,15,13,15,288,2632,704,302,1626,345,71,328,2632,28,1240,600,29,611,234,49,194,1240,198,174,-93,117,51,27,36,198,141,149,6,-14,19,7,21,141,-48,12,-93,33,6,6,3,-48,66,45,-6,27,15,10,10,66,39,-32,0,71,10,8,2,39,1098,458,122,518,196,30,170,1098
201105,54,1143,254,108,781,203,78,137,1143,257,134,0,123,34,28,31,257,85,23,0,62,13,11,7,85,9,0,0,9,2,2,3,9,27,15,0,12,3,3,0,27,136,96,0,40,16,13,21,136,929,140,108,681,176,57,110,929,-190,-2162,-832,-233,-1097,-190,-22,-236,-2162,-512,-304,-39,-169,-32,-14,-34,-512,-228,-139,-6,-83,-13,-3,-24,-228,-42,-12,-6,-24,-5,-5,-3,-42,-90,-48,-27,-15,-15,-10,-13,-90,-152,-105,0,-47,1,0,6,-152,-1703,-564,-194,-945,-169,-14,-218,-1703
201106,18,2674,801,499,1374,300,114,289,2674,602,163,29,410,73,46,55,602,111,30,20,61,21,14,14,111,72,15,6,51,13,4,3,72,130,63,0,67,21,17,14,130,289,55,3,231,18,14,24,289,2184,686,490,1008,246,83,250,2184,-36,1531,547,391,593,97,36,152,1531,345,29,29,287,39,18,24,345,26,7,20,-1,8,3,7,26,63,15,6,42,11,2,0,63,103,48,0,55,18,14,14,103,153,-41,3,191,2,1,3,153,1255,546,382,327,70,26,140,1255
201107,117,3095,633,594,1868,470,157,393,3095,1073,237,0,836,111,64,109,1073,142,43,0,99,29,13,20,142,96,15,0,81,20,13,9,96,180,111,0,69,25,18,19,180,659,68,0,591,38,26,61,659,2166,440,594,1132,377,114,300,2166,99,421,-168,95,494,170,43,104,421,471,74,-29,426,38,18,54,471,31,13,-20,38,8,-1,6,31,24,0,-6,30,7,9,6,24,50,48,0,2,4,1,5,50,370,13,-3,360,20,12,37,370,-18,-246,104,124,131,31,50,-18
201108,0,4223,1123,682,2418,602,206,502,4223,1539,386,318,835,147,89,154,1539,462,88,132,242,49,32,49,462,253,54,6,193,26,13,22,253,149,84,0,65,27,21,21,149,739,160,180,399,49,37,70,739,2892,861,364,1667,487,151,392,2892,-117,1128,490,88,550,132,49,109,1128,466,149,318,-1,36,25,45,466,320,45,132,143,20,19,29,320,157,39,6,112,6,0,13,157,-31,-27,0,-4,2,3,2,-31,80,92,180,-192,11,11,9,80,726,421,-230,535,110,37,92,726
201109,103,10238,2610,1192,6436,784,239,836,10238,2444,322,90,2032,132,82,162,2444,367,19,0,348,35,27,28,367,302,51,21,230,33,15,21,302,249,110,69,70,21,13,19,249,1526,142,0,1384,44,32,94,1526,8081,2435,1102,4544,686,191,722,8081,103,6015,1487,510,4018,182,33,334,6015,905,-64,-228,1197,-15,-7,8,905,-95,-69,-132,106,-14,-5,-21,-95,49,-3,15,37,7,2,-1,49,100,26,69,5,-6,-8,-2,100,787,-18,-180,985,-5,-5,24,787,5189,1574,738,2877,199,40,330,5189
201110,80,8222,2536,1515,4171,628,221,729,8222,1738,901,39,798,133,83,171,1738,319,129,0,190,37,26,50,319,164,52,24,88,29,9,15,164,153,81,12,60,21,18,18,153,1102,639,3,460,48,37,88,1102,6655,1707,1476,3472,521,164,594,6655,-23,-2016,-74,323,-2265,-156,-18,-107,-2016,-706,579,-51,-1234,1,1,9,-706,-48,110,0,-158,2,-1,22,-48,-138,1,3,-142,-4,-6,-6,-138,-96,-29,-57,-10,0,5,-1,-96,-424,497,3,-924,4,5,-6,-424,-1426,-728,374,-1072,-165,-27,-128,-1426
201111,120,3575,879,402,2294,415,161,274,3575,916,180,30,706,95,56,56,916,610,45,24,541,35,20,24,610,51,9,0,42,14,10,9,51,53,44,3,6,12,10,0,53,202,82,3,117,35,23,23,202,2743,727,372,1644,343,124,226,2743,40,-4647,-1657,-1113,-1877,-213,-60,-455,-4647,-822,-721,-9,-92,-38,-27,-115,-822,291,-84,24,351,-2,-6,-26,291,-113,-43,-24,-46,-15,1,-6,-113,-100,-37,-9,-54,-9,-8,-18,-100,-900,-557,0,-343,-13,-14,-65,-900,-3912,-980,-1104,-1828,-178,-40,-368,-3912
201112,200,2076,801,137,1138,713,201,74,2076,745,347,21,377,195,86,6,745,327,97,3,227,77,32,6,327,97,27,0,70,28,15,0,97,242,175,15,52,65,31,0,242,79,48,3,28,25,21,0,79,1507,598,128,781,587,149,68,1507,80,-1499,-78,-265,-1156,298,40,-200,-1499,-171,167,-9,-329,100,30,-50,-171,-283,52,-21,-314,42,12,-18,-283,46,18,0,28,14,5,-9,46,189,131,12,46,53,21,0,189,-123,-34,0,-89,-10,-2,-23,-123,-1236,-129,-244,-863,244,25,-158,-1236
201201,243,10569,3376,581,6612,1345,343,776,10569,3959,1490,107,2362,361,181,180,3959,511,175,27,309,97,43,36,511,164,39,0,125,42,18,21,164,790,619,8,163,135,78,32,790,2509,672,72,1765,92,65,96,2509,7053,2097,494,4462,1076,223,641,7053,43,8493,2575,444,5474,632,142,702,8493,3214,1143,86,1985,166,95,174,3214,184,78,24,82,20,11,30,184,67,12,0,55,14,3,21,67,548,444,-7,111,70,47,32,548,2430,624,69,1737,67,44,96,2430,5546,1499,366,3681,489,74,573,5546
201202,227,11559,4025,923,6611,1647,374,1637,11559,3967,1961,81,1925,364,164,535,3967,1440,193,54,1193,156,58,240,1440,270,64,3,203,38,19,48,270,777,695,12,70,71,49,77,777,1484,1013,12,459,109,61,170,1484,8115,2399,854,4862,1396,271,1182,8115,-16,990,649,342,-1,302,31,861,990,8,471,-26,-437,3,-17,355,8,929,18,27,884,59,15,204,929,106,25,3,78,-4,1,27,106,-13,76,4,-93,-64,-29,45,-13,-1025,341,-60,-1306,17,-4,74,-1025,1062,302,360,400,320,48,541,1062
201203,120,15086,4296,1866,8924,2038,394,1549,15086,5141,1654,1028,2459,389,181,469,5141,1686,233,143,1310,160,46,162,1686,280,111,9,160,48,29,40,280,1648,578,867,203,73,53,97,1648,1547,736,9,802,117,78,174,1547,10420,2835,846,6739,1744,274,1147,10420,-107,3527,271,943,2313,391,20,-88,3527,1174,-307,947,534,25,17,-66,1174,246,40,89,117,4,-12,-78,246,10,47,6,-43,10,10,-8,10,871,-117,855,133,2,4,20,871,63,-277,-3,343,8,17,4,63,2305,436,-8,1877,348,3,-35,2305
201204,115,12907,4662,839,7406,2024,385,1851,12907,5265,1920,103,3242,384,194,588,5265,1564,219,51,1294,136,53,204,1564,775,41,36,698,43,23,55,775,1061,717,13,331,104,65,139,1061,1932,957,3,972,118,86,202,1932,8192,2979,740,4473,1749,268,1366,8192,-5,-2179,366,-1027,-1518,-14,-9,302,-2179,124,266,-925,783,-5,13,119,124,-122,-14,-92,-16,-24,7,42,-122,495,-70,27,538,-5,-6,15,495,-587,139,-854,128,31,12,42,-587,385,221,-6,170,1,8,28,385,-2228,144,-106,-2266,5,-6,219,-2228
201205,69,19914,7682,1585,10647,2320,432,2134,19914,8961,4091,36,4834,428,219,637,8961,4781,1856,3,2922,119,62,167,4781,682,190,24,468,77,30,66,682,1186,858,0,328,103,73,167,1186,2348,1223,9,1116,148,90,241,2348,11517,3816,1549,6152,1979,302,1604,11517,-46,7007,3020,746,3241,296,47,283,7007,3696,2171,-67,1592,44,25,49,3696,3217,1637,-48,1628,-17,9,-37,3217,-93,149,-12,-230,34,7,11,-93,125,141,-13,-3,-1,8,28,125,416,266,6,144,30,4,39,416,3325,837,809,1679,230,34,238,3325
201206,80,12216,3850,1562,6804,2083,419,1470,12216,4929,1601,627,2701,421,188,450,4929,2393,250,354,1789,147,57,158,2393,439,67,21,351,68,27,54,439,847,563,168,116,78,56,108,847,1265,736,84,445,141,76,135,1265,7761,2508,935,4318,1755,301,1095,7761,11,-7698,-3832,-23,-3843,-237,-13,-664,-7698,-4032,-2490,591,-2133,-7,-31,-187,-4032,-2388,-1606,351,-1133,28,-5,-9,-2388,-243,-123,-3,-117,-9,-3,-12,-243,-339,-295,168,-212,-25,-17,-59,-339,-1083,-487,75,-671,-7,-14,-106,-1083,-3756,-1308,-614,-1834,-224,-1,-509,-3756
201207,163,13270,5808,1770,5692,2216,431,1519,13270,5745,2804,838,2103,507,205,508,5745,1818,324,585,909,155,58,131,1818,713,137,100,476,66,30,70,713,915,588,138,189,97,62,98,915,2319,1775,15,529,196,85,213,2319,8458,3584,939,3935,1839,310,1134,8458,83,1054,1958,208,-1112,133,12,49,1054,816,1203,211,-598,86,17,58,816,-575,74,231,-880,8,1,-27,-575,274,70,79,125,-2,3,16,274,68,25,-30,73,19,6,-10,68,1054,1039,-69,84,55,9,78,1054,697,1076,4,-383,84,9,39,697
201208,96,21937,6763,1320,13854,2853,509,2544,21937,9272,3869,204,5199,733,256,862,9272,3426,317,57,3052,152,72,179,3426,964,315,15,634,114,36,158,964,962,764,72,126,131,71,135,962,4244,2517,60,1667,350,122,410,4244,13987,3821,1116,9050,2280,348,1845,13987,-67,8667,955,-450,8162,637,78,1025,8667,3527,1065,-634,3096,226,51,354,3527,1608,-7,-528,2143,-3,14,48,1608,251,178,-85,158,48,6,88,251,47,176,-66,-63,34,9,37,47,1925,742,45,1138,154,37,197,1925,5529,237,177,5115,441,38,711,5529
201209,114,23485,7455,1847,14183,3133,555,2806,23485,11903,3737,353,7813,687,279,1056,11903,4110,208,116,3786,165,79,160,4110,1035,524,0,511,95,37,153,1035,1994,1426,219,349,129,83,343,1994,4821,1587,18,3216,317,120,411,4821,14806,4178,1502,9126,2546,374,1904,14806,18,1548,692,527,329,280,46,262,1548,2631,-132,149,2614,-46,23,194,2631,684,-109,59,734,13,7,-19,684,71,209,-15,-123,-19,1,-5,71,1032,662,147,223,-2,12,208,1032,577,-930,-42,1549,-33,-2,1,577,819,357,386,76,266,26,59,819
201210,171,25087,8839,1703,14545,3324,650,3201,25087,13076,4717,107,8252,905,326,1348,13076,4784,706,12,4066,219,91,307,4784,1594,214,9,1371,92,33,152,1594,2342,1877,46,419,184,102,374,2342,4366,1930,40,2396,427,150,520,4366,13469,5054,1640,6775,2572,437,2145,13469,57,1602,1384,-144,362,191,95,395,1602,1173,980,-246,439,218,47,292,1173,674,498,-104,280,54,12,147,674,559,-310,9,860,-3,-4,-1,559,348,451,-173,70,55,19,31,348,-455,343,22,-820,110,30,109,-455,-1337,876,138,-2351,26,63,241,-1337
201211,146,20988,6761,1452,12775,2786,569,2508,20988,6994,3231,196,3567,701,281,1037,6994,1284,283,25,976,178,73,149,1284,1330,379,30,921,94,25,185,1330,1201,909,42,250,121,81,248,1201,3203,1672,99,1432,320,142,463,3203,15219,4114,1293,9812,2223,393,1659,15219,-25,-4099,-2078,-251,-1770,-538,-81,-693,-4099,-6082,-1486,89,-4685,-204,-45,-311,-6082,-3500,-423,13,-3090,-41,-18,-158,-3500,-264,165,21,-450,2,-8,33,-264,-1141,-968,-4,-169,-63,-21,-126,-1141,-1163,-258,59,-964,-107,-8,-57,-1163,1750,-940,-347,3037,-349,-44,-486,1750
201212,155,13878,6449,735,6694,2273,513,1807,13878,6971,3323,317,3331,671,282,863,6971,1524,391,9,1124,163,76,190,1524,748,199,92,457,85,32,128,748,1977,1469,213,295,145,94,218,1977,2773,1264,3,1506,290,116,340,2773,8254,4012,432,3810,1807,330,1111,8254,9,-7110,-312,-717,-6081,-513,-56,-701,-7110,-23,92,121,-236,-30,1,-174,-23,240,108,-16,148,-15,3,41,240,-582,-180,62,-464,-9,7,-57,-582,776,560,171,45,24,13,-30,776,-430,-408,-96,74,-30,-26,-123,-430,-6965,-102,-861,-6002,-416,-63,-548,-6965
201301,157,18733,7493,1255,9985,2692,697,2364,18733,10204,4662,487,5055,844,417,1244,10204,2054,398,70,1586,157,92,175,2054,1338,421,321,596,125,44,216,1338,2590,1928,81,581,197,137,310,2590,4246,1919,15,2312,391,199,547,4246,9969,3720,796,5453,2036,429,1313,9969,2,4855,1044,520,3291,419,184,557,4855,3233,1339,170,1724,173,135,381,3233,530,7,61,462,-6,16,-15,530,590,222,229,139,40,12,88,590,613,459,-132,286,52,43,92,613,1473,655,12,806,101,83,207,1473,1715,-292,364,1643,229,99,202,1715
201302,236,26636,13441,1799,11396,2838,752,3041,26636,17211,9901,368,6942,889,395,1657,17211,2150,472,124,1554,180,81,330,2150,2732,343,78,2311,152,55,334,2732,3103,2501,63,539,177,109,375,3103,9408,6684,103,2621,405,196,654,9408,11339,4831,1508,5000,2170,477,1680,11339,79,7903,5948,544,1411,146,55,677,7903,7007,5239,-119,1887,45,-22,413,7007,96,74,54,-32,23,-11,155,96,1394,-78,-243,1715,27,11,118,1394,513,573,-18,-42,-20,-28,65,513,5162,4765,88,309,14,-3,107,5162,1370,1111,712,-453,134,48,367,1370
