SectorID	SectorName	IndustryID	IndustryName	JobName	JobNumbers	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	"Combined Food Preparation and Serving Workers, Including Fast Food"	"2,421,660"	Waitress	Waiter and Cook	Server	School Cafeteria Cook	Salad Counter Attendant	Restaurant Worker	Raw Shellfish Preparer	Prep-Cook	Prep Cook (Preparation Cook)	Oyster Preparer
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	Waiters and Waitresses	"1,978,760"	Wine Steward/Stewardess	Wine Steward	Waitstaff Captain	Waitstaff	Waitress	Waiter and Cashier	Waiter	Sommelier	Singing Waiter or Waitress	Server
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	622100	"General Medical and Surgical Hospitals (including private, state, and local government hospitals)"	Registered Nurses	"1,553,080"	X Ray Nurse	Ward Supervisor	Ward Nurse	Visiting Nurse	Triage Register Nurse	Traveling Nurse	Trauma Nurse	Transverse Abdominal Muscle Nurse (TRAM Nurse)	Telephone Triage Nurse	Surgical Supervisor
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	"Elementary School Teachers, Except Special Education"	"1,333,720"	Title One Reading Teacher	Title I Teacher	Teacher	Substitute Teacher	Sixth Grade Teacher	Second Grade Teacher	Resource Teacher	Reading Teacher	Reading Recovery Teacher	Primary Teacher
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	Teacher Assistants	"946,670"	Visual Aid Expert	Tutor	TMD Teacher Assistant (Trainable Mentally Disabled Teacher Assistant)	Title I Assistant	Test Grader	Teaching Assistant	Teaching Aide	Teachers Assistant	Teacher's Assistant	Teacher's Aide
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	"Secondary School Teachers, Except Special and Career/Technical Education"	"935,930"	World Language Teacher	World History Teacher	Voice Teacher	Vocal Teacher	Violin Teacher	Typing Teacher	Trigonometry Teacher	Theatre Director	Theater Teacher	Tennis Coach
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	"Cooks, Restaurant"	"912,100"	Vegetable Cook	Station Cook	Specialty Foods Cook	Specialty Cook	Sous Chef	Saucier	Sandwich Artist	Roundsman	Railroad Cook	Prep Person
44-45	Retail Trade	445100	Grocery Stores	Cashiers	"830,750"	Ticket Seller	Ticket Dispatcher	Ticket Clerk	Ticket Agent	Teller	Store Clerk Checker	Store Clerk Cashier	Station Cashier	Snack Bar Cashier	Sheet Writer
44-45	Retail Trade	448100	Clothing Stores	Retail Salespersons	"795,640"	Yard Goods Salesperson	Women's Apparel Salesperson	Women's Apparel and Accessories Salesperson	Wigs Salesperson	Wig Sales Consultant	Wardrobe Image Consultant	Wallpaper Consultant	Vendette	Used Car Salesperson	Trailers and Motor Homes Salesperson
56	Administrative and Support and Waste Management and Remediation Services	561700	Services to Buildings and Dwellings	"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"	"787,450"	Janitor and Cleaner	Janitor	Institutional Custodian	Industrial Sweeper-Cleaner	Industrial Plant Custodian	Industrial Cleaner	Hydroelectric Plant Maintainer	Hospital Cleaner	Home Restoration Service Cleaner	Hired Worker
