#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
bmw	20150123	-4.52241862097099	-0.137042988514273	33	206.326449837748	2	0	31	0	17	16	3	0
bmw	20150125	-2.35066468791879	-0.26118496532431	9	49.8519379909623	0	0	9	0	6	6	1	0
bmw	20150126	-36.0980174170596	-0.00642770965403482	5616	40533.4450771346	1804	672	3140	0	1692	1414	221	2689
bmw	20150127	55.2171472720247	0.0520916483698346	1060	7860.64526743143	368	79	613	0	370	318	74	447
bmw	20150128	-4.60663404252902	-0.0135489236544971	340	1947.40736072852	94	35	211	0	174	154	25	14
bmw	20150129	23.1755883075688	0.110887982332865	209	1345.41669636901	130	18	61	0	95	89	11	65
bmw	20150130	20.7942627460005	0.177728741418807	117	681.020469742666	54	4	59	0	49	49	14	40
bmw	20150131	10.4537524454248	0.0665844104804127	157	878.819830007952	42	1	114	0	73	70	15	23
bmw	20150201	615.04063819499	0.0920306207085126	6683	34303.4009097653	2226	719	3738	0	882	818	219	4916
bmw	20150202	38.4133351982076	0.0504112010475166	762	4160.1346685028	389	250	123	0	154	143	24	531
dodge	20150123	1.40698531369459	0.703492656847294	2	16.0441233311419	1	0	1	0	2	2	0	0
dodge	20150124	-1.06907863495308	-1.06907863495308	1	2.70805020110221	0	1	0	0	1	1	0	0
dodge	20150127	2.1567500301978	0.7189166767326	3	16.3337400336652	3	0	0	0	3	3	0	0
dodge	20150128	-0.417546206484066	-0.417546206484066	1	5.16478597392351	0	1	0	0	1	1	0	0
dodge	20150129	1.64531226486765	1.64531226486765	1	6.4085287910595	1	0	0	0	1	1	0	0
dodge	20150130	-0.34512895938285	-0.172564479691425	2	14.7023164528614	0	0	2	0	1	1	1	0
dodge	20150201	1765.35101176822	0.181788797422328	9711	48633.7337437742	9286	314	111	0	1271	1195	197	7309
dodge	20150202	618.973569391162	1.02309680891101	605	3304.34006354544	574	15	16	0	388	369	38	9
fiat	20150122	-1.05015876271929	-0.210031752543858	5	29.5925401609798	1	1	3	0	4	4	1	0
fiat	20150123	1.67685904699064	0.167685904699064	10	61.6383752378304	5	2	3	0	8	8	2	0
fiat	20150124	-2.78983804878502	-0.557967609757003	5	25.5404001654504	0	1	4	0	5	5	0	0
fiat	20150125	-1.68212885655338	-0.00709759011203957	237	973.560310877692	1	2	234	0	6	6	3	231
fiat	20150126	0.702844585288674	0.702844585288674	1	5.14166355650266	1	0	0	0	1	1	0	0
fiat	20150127	-0.789576490639026	-0.263192163546342	3	20.278175986076	0	1	2	0	3	3	0	0
fiat	20150128	-1.65870649006421	-0.552902163354738	3	16.4884816867993	1	2	0	0	3	3	0	0
fiat	20150129	-4.50059865476148	-0.0762813331315504	59	485.381812601168	1	53	5	0	9	9	6	48
fiat	20150130	-1.83061486927163	-0.0795919508378968	23	69.5442927987305	2	19	2	0	6	6	1	0
fiat	20150131	-0.406024335669565	-0.203012167834782	2	11.5153724686133	0	1	1	0	2	2	0	0
fiat	20150201	1053.41581595937	0.141969786517435	7420	34202.7491800185	2862	1262	3296	0	1746	1683	266	4604
fiat	20150202	95.1723807297779	0.180936085037601	526	2868.80971908997	217	55	254	0	324	315	34	68
jeep renegade	20150201	546.953332026049	0.0887047246231023	6166	28730.9575426954	3326	1637	1203	0	1110	1024	191	1618
jeep renegade	20150202	297.448264705258	0.1300604568016	2287	26018.8527350354	2066	59	162	0	287	269	53	115
kia	20150123	13.6678038717673	0.155315953088265	88	1063.02804150627	88	0	0	0	4	3	6	76
kia	20150124	-0.483992568059546	-0.241996284029773	2	13.5115378439685	0	0	2	0	1	1	0	0
kia	20150125	-0.987722014990518	-0.0658481343327012	15	99.6185966306805	3	3	9	0	5	5	4	0
